n = 1000
x              v
0      0.0368645
0.001001      0.0736288
0.002002       0.110293
0.003003       0.146857
0.004004       0.183321
0.00500501       0.219686
0.00600601       0.255951
0.00700701       0.292116
0.00800801       0.328182
0.00900901       0.364148
0.01001       0.400015
0.011011       0.435783
0.012012       0.471451
0.013013       0.507021
0.014014       0.542492
0.015015       0.577864
0.016016       0.613137
0.017017       0.648312
0.018018       0.683388
0.019019       0.718365
0.02002       0.753245
0.021021       0.788026
0.022022       0.822709
0.023023       0.857294
0.024024       0.891781
0.025025       0.926171
0.026026       0.960462
0.027027       0.994656
0.028028        1.02875
0.029029        1.06275
0.03003        1.09665
0.031031        1.13046
0.032032        1.16417
0.033033        1.19778
0.034034        1.23129
0.035035        1.26471
0.036036        1.29802
0.037037        1.33125
0.038038        1.36437
0.039039         1.3974
0.04004        1.43034
0.041041        1.46318
0.042042        1.49592
0.043043        1.52856
0.044044        1.56111
0.045045        1.59356
0.046046        1.62592
0.047047        1.65818
0.048048        1.69035
0.049049        1.72242
0.0500501         1.7544
0.0510511        1.78628
0.0520521        1.81806
0.0530531        1.84975
0.0540541        1.88135
0.0550551        1.91285
0.0560561        1.94425
0.0570571        1.97556
0.0580581        2.00678
0.0590591         2.0379
0.0600601        2.06892
0.0610611        2.09986
0.0620621        2.13069
0.0630631        2.16144
0.0640641        2.19209
0.0650651        2.22264
0.0660661         2.2531
0.0670671        2.28347
0.0680681        2.31375
0.0690691        2.34393
0.0700701        2.37401
0.0710711        2.40401
0.0720721        2.43391
0.0730731        2.46372
0.0740741        2.49343
0.0750751        2.52305
0.0760761        2.55258
0.0770771        2.58201
0.0780781        2.61136
0.0790791        2.64061
0.0800801        2.66976
0.0810811        2.69883
0.0820821         2.7278
0.0830831        2.75668
0.0840841        2.78547
0.0850851        2.81416
0.0860861        2.84277
0.0870871        2.87128
0.0880881         2.8997
0.0890891        2.92803
0.0900901        2.95626
0.0910911        2.98441
0.0920921        3.01246
0.0930931        3.04042
0.0940941        3.06829
0.0950951        3.09607
0.0960961        3.12376
0.0970971        3.15136
0.0980981        3.17887
0.0990991        3.20628
0.1001        3.23361
0.101101        3.26084
0.102102        3.28798
0.103103        3.31504
0.104104          3.342
0.105105        3.36887
0.106106        3.39566
0.107107        3.42235
0.108108        3.44895
0.109109        3.47546
0.11011        3.50188
0.111111        3.52822
0.112112        3.55446
0.113113        3.58061
0.114114        3.60668
0.115115        3.63265
0.116116        3.65854
0.117117        3.68433
0.118118        3.71004
0.119119        3.73566
0.12012        3.76119
0.121121        3.78663
0.122122        3.81198
0.123123        3.83724
0.124124        3.86241
0.125125         3.8875
0.126126         3.9125
0.127127        3.93741
0.128128        3.96223
0.129129        3.98696
0.13013         4.0116
0.131131        4.03616
0.132132        4.06063
0.133133        4.08501
0.134134         4.1093
0.135135        4.13351
0.136136        4.15762
0.137137        4.18165
0.138138         4.2056
0.139139        4.22945
0.14014        4.25322
0.141141         4.2769
0.142142         4.3005
0.143143          4.324
0.144144        4.34742
0.145145        4.37076
0.146146        4.39401
0.147147        4.41717
0.148148        4.44024
0.149149        4.46323
0.15015        4.48613
0.151151        4.50895
0.152152        4.53167
0.153153        4.55432
0.154154        4.57687
0.155155        4.59935
0.156156        4.62173
0.157157        4.64403
0.158158        4.66624
0.159159        4.68837
0.16016        4.71042
0.161161        4.73237
0.162162        4.75425
0.163163        4.77603
0.164164        4.79773
0.165165        4.81935
0.166166        4.84088
0.167167        4.86233
0.168168        4.88369
0.169169        4.90497
0.17017        4.92616
0.171171        4.94727
0.172172         4.9683
0.173173        4.98924
0.174174        5.01009
0.175175        5.03086
0.176176        5.05155
0.177177        5.07215
0.178178        5.09267
0.179179        5.11311
0.18018        5.13346
0.181181        5.15373
0.182182        5.17391
0.183183        5.19401
0.184184        5.21403
0.185185        5.23397
0.186186        5.25382
0.187187        5.27358
0.188188        5.29327
0.189189        5.31287
0.19019        5.33239
0.191191        5.35182
0.192192        5.37118
0.193193        5.39045
0.194194        5.40964
0.195195        5.42874
0.196196        5.44776
0.197197         5.4667
0.198198        5.48556
0.199199        5.50434
0.2002        5.52303
0.201201        5.54164
0.202202        5.56017
0.203203        5.57862
0.204204        5.59699
0.205205        5.61527
0.206206        5.63348
0.207207         5.6516
0.208208        5.66964
0.209209         5.6876
0.21021        5.70547
0.211211        5.72327
0.212212        5.74099
0.213213        5.75862
0.214214        5.77617
0.215215        5.79364
0.216216        5.81104
0.217217        5.82835
0.218218        5.84558
0.219219        5.86273
0.22022         5.8798
0.221221        5.89678
0.222222        5.91369
0.223223        5.93052
0.224224        5.94727
0.225225        5.96394
0.226226        5.98052
0.227227        5.99703
0.228228        6.01346
0.229229        6.02981
0.23023        6.04608
0.231231        6.06227
0.232232        6.07838
0.233233        6.09441
0.234234        6.11036
0.235235        6.12623
0.236236        6.14202
0.237237        6.15773
0.238238        6.17337
0.239239        6.18892
0.24024         6.2044
0.241241         6.2198
0.242242        6.23512
0.243243        6.25036
0.244244        6.26552
0.245245         6.2806
0.246246         6.2956
0.247247        6.31053
0.248248        6.32538
0.249249        6.34015
0.25025        6.35484
0.251251        6.36945
0.252252        6.38399
0.253253        6.39845
0.254254        6.41283
0.255255        6.42713
0.256256        6.44136
0.257257         6.4555
0.258258        6.46957
0.259259        6.48357
0.26026        6.49748
0.261261        6.51132
0.262262        6.52508
0.263263        6.53876
0.264264        6.55237
0.265265         6.5659
0.266266        6.57935
0.267267        6.59273
0.268268        6.60603
0.269269        6.61925
0.27027         6.6324
0.271271        6.64547
0.272272        6.65846
0.273273        6.67138
0.274274        6.68422
0.275275        6.69698
0.276276        6.70967
0.277277        6.72228
0.278278        6.73482
0.279279        6.74728
0.28028        6.75967
0.281281        6.77198
0.282282        6.78421
0.283283        6.79637
0.284284        6.80845
0.285285        6.82046
0.286286        6.83239
0.287287        6.84425
0.288288        6.85603
0.289289        6.86773
0.29029        6.87936
0.291291        6.89092
0.292292         6.9024
0.293293        6.91381
0.294294        6.92514
0.295295         6.9364
0.296296        6.94758
0.297297        6.95869
0.298298        6.96972
0.299299        6.98068
0.3003        6.99157
0.301301        7.00238
0.302302        7.01311
0.303303        7.02378
0.304304        7.03437
0.305305        7.04488
0.306306        7.05532
0.307307        7.06569
0.308308        7.07598
0.309309         7.0862
0.31031        7.09635
0.311311        7.10642
0.312312        7.11642
0.313313        7.12635
0.314314         7.1362
0.315315        7.14598
0.316316        7.15569
0.317317        7.16532
0.318318        7.17488
0.319319        7.18437
0.32032        7.19378
0.321321        7.20313
0.322322         7.2124
0.323323        7.22159
0.324324        7.23072
0.325325        7.23977
0.326326        7.24875
0.327327        7.25766
0.328328        7.26649
0.329329        7.27525
0.33033        7.28394
0.331331        7.29256
0.332332        7.30111
0.333333        7.30959
0.334334        7.31799
0.335335        7.32632
0.336336        7.33458
0.337337        7.34277
0.338338        7.35089
0.339339        7.35893
0.34034         7.3669
0.341341        7.37481
0.342342        7.38264
0.343343         7.3904
0.344344        7.39809
0.345345        7.40571
0.346346        7.41325
0.347347        7.42073
0.348348        7.42814
0.349349        7.43547
0.35035        7.44273
0.351351        7.44993
0.352352        7.45705
0.353353         7.4641
0.354354        7.47109
0.355355          7.478
0.356356        7.48484
0.357357        7.49161
0.358358        7.49831
0.359359        7.50494
0.36036        7.51151
0.361361          7.518
0.362362        7.52442
0.363363        7.53077
0.364364        7.53705
0.365365        7.54327
0.366366        7.54941
0.367367        7.55548
0.368368        7.56149
0.369369        7.56742
0.37037        7.57329
0.371371        7.57909
0.372372        7.58481
0.373373        7.59047
0.374374        7.59606
0.375375        7.60158
0.376376        7.60703
0.377377        7.61242
0.378378        7.61773
0.379379        7.62298
0.38038        7.62815
0.381381        7.63326
0.382382         7.6383
0.383383        7.64327
0.384384        7.64818
0.385385        7.65301
0.386386        7.65778
0.387387        7.66248
0.388388        7.66711
0.389389        7.67167
0.39039        7.67617
0.391391         7.6806
0.392392        7.68496
0.393393        7.68925
0.394394        7.69347
0.395395        7.69763
0.396396        7.70172
0.397397        7.70574
0.398398         7.7097
0.399399        7.71358
0.4004         7.7174
0.401401        7.72116
0.402402        7.72484
0.403403        7.72846
0.404404        7.73201
0.405405         7.7355
0.406406        7.73892
0.407407        7.74227
0.408408        7.74555
0.409409        7.74877
0.41041        7.75192
0.411411        7.75501
0.412412        7.75803
0.413413        7.76098
0.414414        7.76386
0.415415        7.76668
0.416416        7.76944
0.417417        7.77213
0.418418        7.77475
0.419419         7.7773
0.42042        7.77979
0.421421        7.78222
0.422422        7.78458
0.423423        7.78687
0.424424         7.7891
0.425425        7.79126
0.426426        7.79335
0.427427        7.79539
0.428428        7.79735
0.429429        7.79925
0.43043        7.80109
0.431431        7.80286
0.432432        7.80456
0.433433         7.8062
0.434434        7.80777
0.435435        7.80928
0.436436        7.81073
0.437437        7.81211
0.438438        7.81342
0.439439        7.81468
0.44044        7.81586
0.441441        7.81698
0.442442        7.81804
