n = 1000
x              v
0              0
0.001001     0.00896005
0.002002      0.0178209
0.003003      0.0265835
0.004004      0.0352489
0.00500501      0.0438181
0.00600601      0.0522919
0.00700701      0.0606713
0.00800801      0.0689574
0.00900901      0.0771509
0.01001      0.0852529
0.011011      0.0932642
0.012012       0.101186
0.013013       0.109019
0.014014       0.116763
0.015015       0.124421
0.016016       0.131992
0.017017       0.139478
0.018018        0.14688
0.019019       0.154198
0.02002       0.161433
0.021021       0.168586
0.022022       0.175657
0.023023       0.182649
0.024024       0.189561
0.025025       0.196394
0.026026       0.203149
0.027027       0.209826
0.028028       0.216428
0.029029       0.222953
0.03003       0.229404
0.031031        0.23578
0.032032       0.242083
0.033033       0.248313
0.034034       0.254471
0.035035       0.260558
0.036036       0.266575
0.037037       0.272521
0.038038       0.278398
0.039039       0.284207
0.04004       0.289948
0.041041       0.295622
0.042042       0.301229
0.043043        0.30677
0.044044       0.312247
0.045045       0.317658
0.046046       0.323006
0.047047       0.328291
0.048048       0.333513
0.049049       0.338673
0.0500501       0.343772
0.0510511        0.34881
0.0520521       0.353788
0.0530531       0.358707
0.0540541       0.363566
0.0550551       0.368367
0.0560561       0.373111
0.0570571       0.377797
0.0580581       0.382426
0.0590591          0.387
0.0600601       0.391517
0.0610611        0.39598
0.0620621       0.400389
0.0630631       0.404744
0.0640641       0.409045
0.0650651       0.413293
0.0660661        0.41749
0.0670671       0.421634
0.0680681       0.425727
0.0690691        0.42977
0.0700701       0.433762
0.0710711       0.437705
0.0720721       0.441598
0.0730731       0.445443
0.0740741       0.449239
0.0750751       0.452988
0.0760761       0.456689
0.0770771       0.460343
0.0780781       0.463952
0.0790791       0.467514
0.0800801       0.471031
0.0810811       0.474502
0.0820821        0.47793
0.0830831       0.481313
0.0840841       0.484652
0.0850851       0.487948
0.0860861       0.491202
0.0870871       0.494413
0.0880881       0.497582
0.0890891        0.50071
0.0900901       0.503796
0.0910911       0.506842
0.0920921       0.509848
0.0930931       0.512813
0.0940941        0.51574
0.0950951       0.518627
0.0960961       0.521475
0.0970971       0.524285
0.0980981       0.527057
0.0990991       0.529792
0.1001       0.532489
0.101101       0.535149
0.102102       0.537773
0.103103       0.540361
0.104104       0.542913
0.105105        0.54543
0.106106       0.547912
0.107107       0.550359
0.108108       0.552772
0.109109       0.555151
0.11011       0.557496
0.111111       0.559808
0.112112       0.562086
0.113113       0.564333
0.114114       0.566546
0.115115       0.568728
0.116116       0.570878
0.117117       0.572997
0.118118       0.575085
0.119119       0.577142
0.12012       0.579168
0.121121       0.581164
0.122122       0.583131
0.123123       0.585068
0.124124       0.586976
0.125125       0.588854
0.126126       0.590704
0.127127       0.592526
0.128128        0.59432
0.129129       0.596086
0.13013       0.597824
0.131131       0.599535
0.132132       0.601219
0.133133       0.602876
0.134134       0.604507
0.135135       0.606111
0.136136        0.60769
0.137137       0.609243
0.138138        0.61077
0.139139       0.612272
0.14014        0.61375
0.141141       0.615203
0.142142       0.616631
0.143143       0.618035
0.144144       0.619415
0.145145       0.620772
0.146146       0.622105
0.147147       0.623414
0.148148       0.624701
0.149149       0.625965
0.15015       0.627206
0.151151       0.628426
0.152152       0.629622
0.153153       0.630798
0.154154       0.631951
0.155155       0.633083
0.156156       0.634194
0.157157       0.635284
0.158158       0.636352
0.159159       0.637401
0.16016       0.638429
0.161161       0.639436
0.162162       0.640424
0.163163       0.641392
0.164164        0.64234
0.165165       0.643269
0.166166       0.644179
0.167167        0.64507
0.168168       0.645942
0.169169       0.646795
0.17017        0.64763
0.171171       0.648446
0.172172       0.649245
0.173173       0.650025
0.174174       0.650788
0.175175       0.651533
0.176176       0.652261
0.177177       0.652971
0.178178       0.653665
0.179179       0.654342
0.18018       0.655002
0.181181       0.655645
0.182182       0.656272
0.183183       0.656883
0.184184       0.657478
0.185185       0.658057
0.186186        0.65862
0.187187       0.659168
0.188188         0.6597
0.189189       0.660217
0.19019       0.660719
0.191191       0.661206
0.192192       0.661678
0.193193       0.662135
0.194194       0.662578
0.195195       0.663007
0.196196       0.663421
0.197197       0.663822
0.198198       0.664208
0.199199        0.66458
0.2002       0.664939
0.201201       0.665285
0.202202       0.665616
0.203203       0.665935
0.204204       0.666241
0.205205       0.666533
0.206206       0.666813
0.207207        0.66708
0.208208       0.667334
0.209209       0.667576
0.21021       0.667805
0.211211       0.668022
0.212212       0.668227
0.213213        0.66842
0.214214       0.668601
0.215215       0.668771
0.216216       0.668928
0.217217       0.669075
0.218218        0.66921
0.219219       0.669333
0.22022       0.669445
0.221221       0.669547
0.222222       0.669637
0.223223       0.669716
0.224224       0.669785
0.225225       0.669843
0.226226        0.66989
0.227227       0.669927
0.228228       0.669954
0.229229       0.669971
0.23023       0.669977
0.231231       0.669973
0.232232        0.66996
0.233233       0.669936
0.234234       0.669903
0.235235        0.66986
0.236236       0.669808
0.237237       0.669746
0.238238       0.669675
0.239239       0.669595
0.24024       0.669505
0.241241       0.669407
0.242242       0.669299
0.243243       0.669183
0.244244       0.669058
0.245245       0.668924
0.246246       0.668781
0.247247        0.66863
0.248248        0.66847
0.249249       0.668303
0.25025       0.668126
0.251251       0.667942
0.252252       0.667749
0.253253       0.667549
0.254254        0.66734
0.255255       0.667124
0.256256         0.6669
0.257257       0.666668
0.258258       0.666428
0.259259       0.666181
0.26026       0.665926
0.261261       0.665664
0.262262       0.665395
0.263263       0.665118
0.264264       0.664834
0.265265       0.664543
0.266266       0.664245
0.267267        0.66394
0.268268       0.663628
0.269269       0.663309
0.27027       0.662983
0.271271       0.662651
0.272272       0.662312
0.273273       0.661966
0.274274       0.661614
0.275275       0.661255
0.276276        0.66089
0.277277       0.660519
0.278278       0.660141
0.279279       0.659758
0.28028       0.659368
0.281281       0.658972
0.282282        0.65857
0.283283       0.658162
0.284284       0.657748
0.285285       0.657328
0.286286       0.656903
0.287287       0.656472
0.288288       0.656035
0.289289       0.655592
0.29029       0.655144
0.291291       0.654691
0.292292       0.654232
0.293293       0.653768
0.294294       0.653298
0.295295       0.652823
0.296296       0.652343
0.297297       0.651857
0.298298       0.651367
0.299299       0.650871
0.3003       0.650371
0.301301       0.649865
0.302302       0.649355
0.303303       0.648839
0.304304       0.648319
0.305305       0.647794
0.306306       0.647265
0.307307        0.64673
0.308308       0.646191
0.309309       0.645648
0.31031         0.6451
0.311311       0.644547
0.312312        0.64399
0.313313       0.643428
0.314314       0.642862
0.315315       0.642292
0.316316       0.641718
0.317317       0.641139
0.318318       0.640556
0.319319       0.639969
0.32032       0.639378
0.321321       0.638783
0.322322       0.638183
0.323323        0.63758
0.324324       0.636973
0.325325       0.636362
0.326326       0.635747
0.327327       0.635128
0.328328       0.634505
0.329329       0.633879
0.33033       0.633249
0.331331       0.632615
0.332332       0.631977
0.333333       0.631336
0.334334       0.630692
0.335335       0.630044
0.336336       0.629392
0.337337       0.628737
0.338338       0.628078
0.339339       0.627416
0.34034       0.626751
0.341341       0.626082
0.342342        0.62541
0.343343       0.624735
0.344344       0.624056
0.345345       0.623375
0.346346        0.62269
0.347347       0.622002
0.348348       0.621311
0.349349       0.620617
0.35035       0.619919
0.351351       0.619219
0.352352       0.618516
0.353353        0.61781
0.354354       0.617101
0.355355       0.616389
0.356356       0.615674
0.357357       0.614956
0.358358       0.614236
0.359359       0.613512
0.36036       0.612786
0.361361       0.612058
0.362362       0.611326
0.363363       0.610592
0.364364       0.609855
0.365365       0.609116
0.366366       0.608374
0.367367       0.607629
0.368368       0.606882
0.369369       0.606132
0.37037        0.60538
0.371371       0.604626
0.372372       0.603869
0.373373       0.603109
0.374374       0.602347
0.375375       0.601583
0.376376       0.600816
0.377377       0.600047
0.378378       0.599276
0.379379       0.598503
0.38038       0.597727
0.381381       0.596949
0.382382       0.596169
0.383383       0.595386
0.384384       0.594602
0.385385       0.593815
0.386386       0.593026
0.387387       0.592235
0.388388       0.591442
0.389389       0.590647
0.39039        0.58985
0.391391       0.589051
0.392392        0.58825
0.393393       0.587447
0.394394       0.586642
0.395395       0.585835
0.396396       0.585026
0.397397       0.584215
0.398398       0.583402
0.399399       0.582588
0.4004       0.581771
0.401401       0.580953
0.402402       0.580133
0.403403       0.579311
0.404404       0.578488
0.405405       0.577662
0.406406       0.576835
0.407407       0.576006
0.408408       0.575176
0.409409       0.574344
0.41041        0.57351
0.411411       0.572674
0.412412       0.571837
0.413413       0.570998
0.414414       0.570158
0.415415       0.569316
0.416416       0.568472
0.417417       0.567627
0.418418        0.56678
0.419419       0.565932
0.42042       0.565082
0.421421       0.564231
0.422422       0.563378
0.423423       0.562524
0.424424       0.561669
0.425425       0.560812
0.426426       0.559953
0.427427       0.559093
0.428428       0.558232
0.429429       0.557369
0.43043       0.556505
0.431431        0.55564
0.432432       0.554773
0.433433       0.553905
0.434434       0.553036
0.435435       0.552165
0.436436       0.551293
0.437437        0.55042
0.438438       0.549545
0.439439        0.54867
0.44044       0.547793
0.441441       0.546914
0.442442       0.546035
0.443443       0.545154
0.444444       0.544273
0.445445        0.54339
0.446446       0.542506
0.447447        0.54162
0.448448       0.540734
0.449449       0.539846
0.45045       0.538958
0.451451       0.538068
0.452452       0.537177
0.453453       0.536285
0.454454       0.535392
0.455455       0.534498
0.456456       0.533603
0.457457       0.532706
0.458458       0.531809
0.459459       0.530911
0.46046       0.530011
0.461461       0.529111
0.462462        0.52821
0.463463       0.527308
0.464464       0.526404
0.465465         0.5255
0.466466       0.524595
0.467467       0.523689
0.468468       0.522782
0.469469       0.521874
0.47047       0.520965
0.471471       0.520055
0.472472       0.519145
0.473473       0.518233
0.474474       0.517321
0.475475       0.516407
0.476476       0.515493
0.477477       0.514578
0.478478       0.513662
0.479479       0.512745
0.48048       0.511828
0.481481        0.51091
0.482482        0.50999
0.483483        0.50907
0.484484        0.50815
0.485485       0.507228
0.486486       0.506306
0.487487       0.505383
0.488488       0.504459
0.489489       0.503534
0.49049       0.502609
0.491491       0.501683
0.492492       0.500756
0.493493       0.499828
0.494494         0.4989
0.495495       0.497971
