n = 1000
x              v
0              0
0.001001     0.00920812
0.002002      0.0182669
0.003003      0.0272027
0.004004      0.0360247
0.00500501      0.0447381
0.00600601      0.0533465
0.00700701      0.0618525
0.00800801      0.0702581
0.00900901      0.0785653
0.01001      0.0867757
0.011011      0.0948906
0.012012       0.102912
0.013013        0.11084
0.014014       0.118677
0.015015       0.126423
0.016016        0.13408
0.017017       0.141649
0.018018        0.14913
0.019019       0.156526
0.02002       0.163836
0.021021       0.171062
0.022022       0.178205
0.023023       0.185265
0.024024       0.192244
0.025025       0.199143
0.026026       0.205961
0.027027       0.212701
0.028028       0.219363
0.029029       0.225947
0.03003       0.232455
0.031031       0.238888
0.032032       0.245245
0.033033       0.251529
0.034034       0.257739
0.035035       0.263877
0.036036       0.269944
0.037037       0.275939
0.038038       0.281864
0.039039       0.287719
0.04004       0.293506
0.041041       0.299225
0.042042       0.304876
0.043043        0.31046
0.044044       0.315979
0.045045       0.321432
0.046046        0.32682
0.047047       0.332144
0.048048       0.337405
0.049049       0.342603
0.0500501       0.347739
0.0510511       0.352814
0.0520521       0.357827
0.0530531       0.362781
0.0540541       0.367675
0.0550551        0.37251
0.0560561       0.377286
0.0570571       0.382005
0.0580581       0.386666
0.0590591       0.391271
0.0600601       0.395819
0.0610611       0.400312
0.0620621       0.404751
0.0630631       0.409134
0.0640641       0.413464
0.0650651       0.417741
0.0660661       0.421964
0.0670671       0.426136
0.0680681       0.430256
0.0690691       0.434324
0.0700701       0.438342
0.0710711        0.44231
0.0720721       0.446228
0.0730731       0.450096
0.0740741       0.453917
0.0750751       0.457689
0.0760761       0.461413
0.0770771        0.46509
0.0780781        0.46872
0.0790791       0.472304
0.0800801       0.475842
0.0810811       0.479335
0.0820821       0.482783
0.0830831       0.486186
0.0840841       0.489545
0.0850851       0.492861
0.0860861       0.496134
0.0870871       0.499364
0.0880881       0.502552
0.0890891       0.505697
0.0900901       0.508802
0.0910911       0.511865
0.0920921       0.514888
0.0930931       0.517871
0.0940941       0.520814
0.0950951       0.523717
0.0960961       0.526581
0.0970971       0.529407
0.0980981       0.532195
0.0990991       0.534944
0.1001       0.537657
0.101101       0.540332
0.102102        0.54297
0.103103       0.545572
0.104104       0.548138
0.105105       0.550669
0.106106       0.553164
0.107107       0.555624
0.108108        0.55805
0.109109       0.560442
0.11011       0.562799
0.111111       0.565123
0.112112       0.567414
0.113113       0.569672
0.114114       0.571897
0.115115       0.574091
0.116116       0.576252
0.117117       0.578382
0.118118        0.58048
0.119119       0.582548
0.12012       0.584584
0.121121       0.586591
0.122122       0.588567
0.123123       0.590514
0.124124       0.592431
0.125125       0.594319
0.126126       0.596179
0.127127       0.598009
0.128128       0.599812
0.129129       0.601586
0.13013       0.603333
0.131131       0.605052
0.132132       0.606744
0.133133       0.608409
0.134134       0.610048
0.135135        0.61166
0.136136       0.613246
0.137137       0.614807
0.138138       0.616341
0.139139       0.617851
0.14014       0.619335
0.141141       0.620794
0.142142       0.622229
0.143143        0.62364
0.144144       0.625026
0.145145       0.626389
0.146146       0.627728
0.147147       0.629043
0.148148       0.630336
0.149149       0.631605
0.15015       0.632852
0.151151       0.634077
0.152152       0.635279
0.153153       0.636459
0.154154       0.637618
0.155155       0.638754
0.156156        0.63987
0.157157       0.640964
0.158158       0.642037
0.159159        0.64309
0.16016       0.644122
0.161161       0.645134
0.162162       0.646126
0.163163       0.647098
0.164164        0.64805
0.165165       0.648982
0.166166       0.649895
0.167167        0.65079
0.168168       0.651665
0.169169       0.652521
0.17017       0.653359
0.171171       0.654179
0.172172        0.65498
0.173173       0.655763
0.174174       0.656529
0.175175       0.657276
0.176176       0.658007
0.177177        0.65872
0.178178       0.659416
0.179179       0.660094
0.18018       0.660757
0.181181       0.661402
0.182182       0.662031
0.183183       0.662644
0.184184        0.66324
0.185185       0.663821
0.186186       0.664386
0.187187       0.664935
0.188188       0.665469
0.189189       0.665987
0.19019        0.66649
0.191191       0.666978
0.192192       0.667451
0.193193        0.66791
0.194194       0.668354
0.195195       0.668783
0.196196       0.669198
0.197197       0.669599
0.198198       0.669986
0.199199       0.670359
0.2002       0.670718
0.201201       0.671064
0.202202       0.671396
0.203203       0.671715
0.204204        0.67202
0.205205       0.672313
0.206206       0.672593
0.207207       0.672859
0.208208       0.673114
0.209209       0.673355
0.21021       0.673584
0.211211       0.673801
0.212212       0.674006
0.213213       0.674198
0.214214       0.674379
0.215215       0.674548
0.216216       0.674705
0.217217        0.67485
0.218218       0.674984
0.219219       0.675107
0.22022       0.675218
0.221221       0.675318
0.222222       0.675408
0.223223       0.675486
0.224224       0.675553
0.225225        0.67561
0.226226       0.675656
0.227227       0.675692
0.228228       0.675717
0.229229       0.675732
0.23023       0.675737
0.231231       0.675732
0.232232       0.675717
0.233233       0.675692
0.234234       0.675657
0.235235       0.675612
0.236236       0.675558
0.237237       0.675495
0.238238       0.675422
0.239239       0.675339
0.24024       0.675248
0.241241       0.675147
0.242242       0.675037
0.243243       0.674919
0.244244       0.674791
0.245245       0.674655
0.246246        0.67451
0.247247       0.674357
0.248248       0.674195
0.249249       0.674024
0.25025       0.673845
0.251251       0.673658
0.252252       0.673463
0.253253        0.67326
0.254254       0.673049
0.255255        0.67283
0.256256       0.672603
0.257257       0.672368
0.258258       0.672125
0.259259       0.671875
0.26026       0.671618
0.261261       0.671352
0.262262        0.67108
0.263263         0.6708
0.264264       0.670513
0.265265       0.670219
0.266266       0.669917
0.267267       0.669609
0.268268       0.669294
0.269269       0.668972
0.27027       0.668642
0.271271       0.668307
0.272272       0.667964
0.273273       0.667615
0.274274       0.667259
0.275275       0.666897
0.276276       0.666529
0.277277       0.666154
0.278278       0.665773
0.279279       0.665385
0.28028       0.664991
0.281281       0.664592
0.282282       0.664186
0.283283       0.663774
0.284284       0.663356
0.285285       0.662933
0.286286       0.662503
0.287287       0.662068
0.288288       0.661627
0.289289       0.661181
0.29029       0.660729
0.291291       0.660271
0.292292       0.659808
0.293293        0.65934
0.294294       0.658866
0.295295       0.658386
0.296296       0.657902
0.297297       0.657412
0.298298       0.656918
0.299299       0.656418
0.3003       0.655913
0.301301       0.655403
0.302302       0.654888
0.303303       0.654368
0.304304       0.653843
0.305305       0.653314
0.306306       0.652779
0.307307       0.652241
0.308308       0.651697
0.309309       0.651149
0.31031       0.650596
0.311311       0.650038
0.312312       0.649477
0.313313        0.64891
0.314314        0.64834
0.315315       0.647765
0.316316       0.647185
0.317317       0.646602
0.318318       0.646014
0.319319       0.645422
0.32032       0.644826
0.321321       0.644226
0.322322       0.643621
0.323323       0.643013
0.324324       0.642401
0.325325       0.641784
