# First row contains the n, rho_max and omega values respectively. The other rows contains the data to be plotted 
# First column contains rho values. Second column contains the eigenvector for the ground statethird column contains the potential at point i. Fourth column contains the eigenvalues. 
400             10           0.01
0.0997506   1.89142e-009         10.025       0.105815
0.199501   8.33084e-009         5.0125       0.105815
0.299252   2.05959e-008        3.34168       0.105815
0.399002   4.01491e-008        2.50627       0.105815
0.498753   6.86536e-008        2.00502       0.105815
0.598504   1.07988e-007        1.67087       0.105815
0.698254   1.60264e-007        1.43219       0.105815
0.798005   2.27842e-007        1.25319       0.105815
0.897756   3.13349e-007        1.11397       0.105815
0.997506   4.19695e-007         1.0026       0.105815
1.09726   5.50093e-007       0.911484       0.105815
1.19701   7.08075e-007        0.83556       0.105815
1.29676   8.97512e-007       0.771322       0.105815
1.39651   1.12263e-006       0.716266       0.105815
1.49626   1.38804e-006       0.668557       0.105815
1.59601   1.69874e-006       0.626817       0.105815
1.69576   2.06014e-006       0.589993       0.105815
1.79551    2.4781e-006       0.557267       0.105815
1.89526    2.9589e-006       0.527991       0.105815
1.99501   3.50933e-006       0.501648       0.105815
2.09476   4.13664e-006        0.47782       0.105815
2.19451    4.8486e-006       0.456163       0.105815
2.29426   5.65351e-006       0.436396       0.105815
2.39401    6.5602e-006       0.418281       0.105815
2.49377   7.57807e-006       0.401622       0.105815
2.59352    8.7171e-006        0.38625       0.105815
2.69327   9.98785e-006       0.372022       0.105815
2.79302   1.14015e-005       0.358816       0.105815
2.89277   1.29698e-005       0.346526       0.105815
2.99252   1.47053e-005       0.335062       0.105815
3.09227   1.66209e-005       0.324343       0.105815
3.19202   1.87304e-005         0.3143       0.105815
3.29177   2.10482e-005       0.304871       0.105815
3.39152   2.35894e-005       0.296003       0.105815
3.49127   2.63696e-005       0.287647       0.105815
3.59102   2.94054e-005       0.279762       0.105815
3.69077   3.27138e-005       0.272308       0.105815
3.79052   3.63126e-005       0.265253       0.105815
3.89027   4.02204e-005       0.258565       0.105815
3.99002   4.44563e-005       0.252217       0.105815
4.08978   4.90401e-005       0.246185       0.105815
4.18953   5.39925e-005       0.240446       0.105815
4.28928   5.93345e-005       0.234979       0.105815
4.38903   6.50882e-005       0.229767       0.105815
4.48878    7.1276e-005       0.224793       0.105815
4.58853   7.79211e-005        0.22004       0.105815
4.68828   8.50472e-005       0.215496       0.105815
4.78803   9.26788e-005       0.211147       0.105815
4.88778    0.000100841       0.206981       0.105815
4.98753    0.000109559       0.202988       0.105815
5.08728    0.000118858       0.199157       0.105815
5.18703    0.000128767       0.195479       0.105815
5.28678    0.000139311       0.191946       0.105815
5.38653    0.000150517        0.18855       0.105815
5.48628    0.000162415       0.185283       0.105815
5.58603    0.000175031       0.182138       0.105815
5.68579    0.000188396        0.17911       0.105815
5.78554    0.000202536       0.176192       0.105815
5.88529    0.000217482       0.173379       0.105815
5.98504    0.000233263       0.170665       0.105815
6.08479    0.000249908       0.168047       0.105815
6.18454    0.000267447       0.165518       0.105815
6.28429    0.000285909       0.163076       0.105815
6.38404    0.000305324       0.160716       0.105815
6.48379     0.00032572       0.158435       0.105815
6.58354    0.000347129       0.156228       0.105815
6.68329    0.000369578       0.154094       0.105815
6.78304    0.000393096       0.152027       0.105815
6.88279    0.000417712       0.150027       0.105815
6.98254    0.000443454        0.14809       0.105815
7.08229    0.000470351       0.146213       0.105815
7.18204    0.000498428       0.144394       0.105815
7.2818    0.000527712       0.142631       0.105815
7.38155    0.000558231       0.140922       0.105815
7.4813    0.000590008       0.139264       0.105815
7.58105    0.000623068       0.137655       0.105815
7.6808    0.000657434       0.136094       0.105815
7.78055     0.00069313       0.134579       0.105815
7.8803    0.000730177       0.133109       0.105815
7.98005    0.000768595       0.131681       0.105815
8.0798    0.000808403       0.130294       0.105815
8.17955     0.00084962       0.128947       0.105815
8.2793    0.000892263       0.127638       0.105815
8.37905    0.000936347       0.126366       0.105815
8.4788    0.000981886        0.12513       0.105815
8.57855     0.00102889       0.123929       0.105815
8.6783     0.00107738       0.122761       0.105815
8.77805     0.00112735       0.121626       0.105815
8.87781     0.00117882       0.120522       0.105815
8.97756     0.00123179       0.119449       0.105815
9.07731     0.00128626       0.118405       0.105815
9.17706     0.00134225       0.117389       0.105815
9.27681     0.00139974       0.116402       0.105815
9.37656     0.00145874       0.115441       0.105815
9.47631     0.00151924       0.114506       0.105815
9.57606     0.00158123       0.113597       0.105815
9.67581     0.00164472       0.112713       0.105815
9.77556     0.00170969       0.111852       0.105815
9.87531     0.00177612       0.111015       0.105815
9.97506     0.00184401         0.1102       0.105815
10.0748     0.00191334       0.109408       0.105815
10.1746     0.00198408       0.108636       0.105815
10.2743     0.00205623       0.107886       0.105815
10.3741     0.00212974       0.107156       0.105815
10.4738     0.00220461       0.106446       0.105815
10.5736      0.0022808       0.105756       0.105815
10.6733     0.00235827       0.105084       0.105815
10.7731     0.00243701        0.10443       0.105815
10.8728     0.00251697       0.103794       0.105815
10.9726     0.00259812       0.103176       0.105815
