# First row contains the n, rho_max and omega values respectively. The other rows contains the data to be plotted 
# First column contains rho values. Second column contains the eigenvector for the ground statethird column contains the potential at point i. Fourth column contains the eigenvalues. 
400             5            0.5
0.0124688   5.19602e-007           80.2        2.23101
0.0249377   2.10368e-006        40.1002        2.23101
0.0374065   4.78961e-006        26.7337        2.23101
0.0498753   8.61402e-006        20.0506        2.23101
0.0623441   1.36127e-005         16.041        2.23101
0.074813   1.98207e-005        13.3681        2.23101
0.0872818    2.7272e-005         11.459        2.23101
0.0997506   3.59995e-005        10.0275        2.23101
0.112219   4.60353e-005        8.91426        2.23101
0.124688   5.74103e-005        8.02389        2.23101
0.137157   7.01541e-005        7.29561        2.23101
0.149626   8.42954e-005        6.68893        2.23101
0.162095   9.98612e-005         6.1758        2.23101
0.174564    0.000116878        5.73619        2.23101
0.187032    0.000135369        5.35541        2.23101
0.199501    0.000155359        5.02245        2.23101
0.21197    0.000176868        4.72888        2.23101
0.224439    0.000199918        4.46815        2.23101
0.236908    0.000224527        4.23508        2.23101
0.249377    0.000250711        4.02555        2.23101
0.261845    0.000278486        3.83619        2.23101
0.274314    0.000307867        3.66427        2.23101
0.286783    0.000338864        3.50752        2.23101
0.299252    0.000371489        3.36405        2.23101
0.311721     0.00040575        3.23229        2.23101
0.32419    0.000441653        3.11089        2.23101
0.336658    0.000479204        2.99871        2.23101
0.349127    0.000518407        2.89476        2.23101
0.361596    0.000559261        2.79821        2.23101
0.374065    0.000601767        2.70831        2.23101
0.386534    0.000645922        2.62445        2.23101
0.399002    0.000691722        2.54605        2.23101
0.411471    0.000739161        2.47263        2.23101
0.42394     0.00078823        2.40375        2.23101
0.436409     0.00083892        2.33904        2.23101
0.448878    0.000891218        2.27815        2.23101
0.461347    0.000945111        2.22078        2.23101
0.473815     0.00100058        2.16665        2.23101
0.486284     0.00105762        2.11553        2.23101
0.498753     0.00111619        2.06719        2.23101
0.511222     0.00117629        2.02143        2.23101
0.523691     0.00123788        1.97809        2.23101
0.53616     0.00130094        1.93698        2.23101
0.548628     0.00136545        1.89798        2.23101
0.561097     0.00143138        1.86093        2.23101
0.573566     0.00149869        1.82572        2.23101
0.586035     0.00156735        1.79224        2.23101
0.598504     0.00163733        1.76039        2.23101
0.610973      0.0017086        1.73006        2.23101
0.623441     0.00178111        1.70117        2.23101
0.63591     0.00185483        1.67364        2.23101
0.648379     0.00192972        1.64741        2.23101
0.660848     0.00200573        1.62239        2.23101
0.673317     0.00208283        1.59852        2.23101
0.685786     0.00216096        1.57576        2.23101
0.698254     0.00224008        1.55403        2.23101
0.710723     0.00232014         1.5333        2.23101
0.723192      0.0024011        1.51351        2.23101
0.735661      0.0024829        1.49462        2.23101
0.74813      0.0025655        1.47659        2.23101
0.760599     0.00264883        1.45938        2.23101
0.773067     0.00273285        1.44296        2.23101
0.785536      0.0028175        1.42728        2.23101
0.798005     0.00290273        1.41233        2.23101
0.810474     0.00298847        1.39806        2.23101
0.822943     0.00307468        1.38446        2.23101
0.835411      0.0031613        1.37149        2.23101
0.84788     0.00324826        1.35914        2.23101
0.860349     0.00333551        1.34737        2.23101
0.872818     0.00342299        1.33617        2.23101
0.885287     0.00351063        1.32551        2.23101
0.897756     0.00359839        1.31538        2.23101
0.910224     0.00368619        1.30576        2.23101
0.922693     0.00377397        1.29662        2.23101
0.935162     0.00386168        1.28797        2.23101
0.947631     0.00394925        1.27976        2.23101
0.9601     0.00403662        1.27201        2.23101
0.972569     0.00412373        1.26468        2.23101
0.985037     0.00421051        1.25776        2.23101
0.997506     0.00429692        1.25125        2.23101
1.00998     0.00438288        1.24514        2.23101
1.02244     0.00446833         1.2394        2.23101
1.03491     0.00455322        1.23403        2.23101
1.04738     0.00463748        1.22901        2.23101
1.05985     0.00472106        1.22435        2.23101
1.07232     0.00480389        1.22003        2.23101
1.08479     0.00488592        1.21603        2.23101
1.09726     0.00496709        1.21236        2.23101
1.10973     0.00504734          1.209        2.23101
1.12219     0.00512662        1.20594        2.23101
1.13466     0.00520487        1.20318        2.23101
1.14713     0.00528203        1.20072        2.23101
1.1596     0.00535806        1.19853        2.23101
1.17207     0.00543291        1.19663        2.23101
1.18454     0.00550651        1.19499        2.23101
1.19701     0.00557882        1.19362        2.23101
1.20948     0.00564979        1.19251        2.23101
1.22195     0.00571937        1.19165        2.23101
1.23441     0.00578752        1.19105        2.23101
1.24688     0.00585419        1.19068        2.23101
1.25935     0.00591934        1.19055        2.23101
1.27182     0.00598292        1.19066        2.23101
1.28429      0.0060449        1.19099        2.23101
1.29676     0.00610523        1.19155        2.23101
1.30923     0.00616388        1.19233        2.23101
1.3217     0.00622081        1.19332        2.23101
1.33416     0.00627598        1.19453        2.23101
1.34663     0.00632937        1.19595        2.23101
1.3591     0.00638094        1.19757        2.23101
1.37157     0.00643066        1.19939        2.23101
