# First row contains the n, rho_max and omega values respectively. The other rows contains the data to be plotted 
# First column contains rho values. Second column contains the eigenvector for the ground statethird column contains the potential at point i. Fourth column contains the eigenvalues. 
400             4              1
0.00997506   1.03407e-006         100.25        4.05791
0.0199501   4.17598e-006        50.1254        4.05791
0.0299252   9.48342e-006        33.4176        4.05791
0.0399002   1.70116e-005        25.0641        4.05791
0.0498753   2.68129e-005        20.0525        4.05791
0.0598504   3.89372e-005        16.7119        4.05791
0.0698254   5.34314e-005        14.3263        4.05791
0.0798005   7.03394e-005        12.5376        4.05791
0.0897756    8.9702e-005        11.1469        4.05791
0.0997506    0.000111557         10.035        4.05791
0.109726    0.000135938        9.12568        4.05791
0.119701    0.000162878        8.36849        4.05791
0.129676    0.000192403        7.72835        4.05791
0.139651    0.000224537        7.18022        4.05791
0.149626    0.000259302        6.70572        4.05791
0.159601    0.000296714         6.2911        4.05791
0.169576    0.000336787        5.92581        4.05791
0.179551     0.00037953        5.60168        4.05791
0.189526    0.000424949        5.31224        4.05791
0.199501    0.000473046         5.0523        4.05791
0.209476     0.00052382        4.81769        4.05791
0.219451    0.000577264        4.60498        4.05791
0.229426    0.000633371        4.41133        4.05791
0.239401    0.000692125         4.2344        4.05791
0.249377     0.00075351        4.07219        4.05791
0.259352    0.000817506        3.92303        4.05791
0.269327    0.000884086         3.7855        4.05791
0.279302    0.000953223        3.65837        4.05791
0.289277     0.00102488        3.54058        4.05791
0.299252     0.00109903        3.43122        4.05791
0.309227     0.00117563        3.32949        4.05791
0.319202     0.00125463         3.2347        4.05791
0.329177     0.00133598        3.14624        4.05791
0.339152     0.00141965        3.06355        4.05791
0.349127     0.00150556        2.98618        4.05791
0.359102     0.00159367        2.91368        4.05791
0.369077     0.00168391        2.84568        4.05791
0.379052     0.00177621        2.78184        4.05791
0.389027     0.00187052        2.72186        4.05791
0.399002     0.00196676        2.66545        4.05791
0.408978     0.00206485        2.61238        4.05791
0.418953     0.00216472        2.56243        4.05791
0.428928     0.00226629        2.51537        4.05791
0.438903     0.00236948        2.47104        4.05791
0.448878      0.0024742        2.42927        4.05791
0.458853     0.00258036        2.38989        4.05791
0.468828     0.00268788        2.35278        4.05791
0.478803     0.00279667        2.31779        4.05791
0.488778     0.00290662        2.28482        4.05791
0.498753     0.00301765        2.25375        4.05791
0.508728     0.00312966        2.22449        4.05791
0.518703     0.00324254        2.19694        4.05791
0.528678     0.00335621        2.17101        4.05791
0.538653     0.00347055        2.14663        4.05791
0.548628     0.00358546        2.12372        4.05791
0.558603     0.00370085        2.10222        4.05791
0.568579      0.0038166        2.08205        4.05791
0.578554      0.0039326        2.06317        4.05791
0.588529     0.00404876        2.04552        4.05791
0.598504     0.00416497        2.02904        4.05791
0.608479     0.00428111        2.01369        4.05791
0.618454     0.00439709        1.99942        4.05791
0.628429     0.00451279        1.98619        4.05791
0.638404     0.00462811        1.97397        4.05791
0.648379     0.00474294         1.9627        4.05791
