# First row contains the n, rho_max and omega values respectively. The other rows contains the data to be plotted 
# First column contains rho values. The other values contains smallest 3 eigenvectors 
150             10              5
0.0662252     0.00541728      0.0087827      0.0112794
0.13245      0.0214603       0.031868      0.0373282
0.198675      0.0455094      0.0579264       0.057193
0.264901      0.0726337      0.0730318      0.0539232
0.331126      0.0971178      0.0689719      0.0300774
0.397351       0.114138      0.0480212     0.00579065
0.463576       0.120983      0.0214318     0.00143751
0.529801       0.117466     0.00300261      0.0206763
0.596026       0.105528     0.00189508      0.0482651
0.662252      0.0883297      0.0187229      0.0631955
0.728477      0.0692318      0.0464278      0.0550414
0.794702      0.0510016      0.0745687      0.0305626
0.860927      0.0354152      0.0941848      0.0071963
0.927152      0.0232331        0.10084    0.000354623
0.993377      0.0144254       0.095017      0.0143273
1.0596     0.00848982      0.0805242      0.0417844
1.12583     0.00474203      0.0622347      0.0699816
1.19205     0.00251643      0.0442834      0.0881979
1.25828     0.00126985       0.029209      0.0919751
1.3245    0.000609833      0.0179508      0.0830601
1.39073    0.000278909      0.0103197      0.0666573
1.45695    0.000121555     0.00556716        0.04832
1.52318   5.05112e-005      0.0028255      0.0319934
1.5894   2.00227e-005       0.001352       0.019504
1.65563   7.57491e-006    0.000611013      0.0110135
1.72185   2.73614e-006    0.000261206     0.00578755
1.78808   9.44011e-007    0.000105766     0.00284083
1.8543    3.1121e-007   4.06115e-005     0.00130646
1.92053    9.8066e-008   1.48023e-005    0.000564344
1.98675   2.95473e-008   5.12611e-006    0.000229465
2.05298   8.51503e-009   1.68804e-006   8.79856e-005
2.11921   2.34777e-009   5.28982e-007   3.18653e-005
2.18543   6.19517e-010   1.57855e-007   1.09155e-005
2.25166   1.56495e-010   4.48857e-008     3.541e-006
2.31788   3.78542e-011   1.21688e-008   1.08905e-006
2.38411   8.77025e-012   3.14711e-009   3.17864e-007
2.45033   1.94673e-012   7.76826e-010   8.81263e-008
2.51656   4.14096e-013   1.83102e-010   2.32274e-008
2.58278   8.44326e-014   4.12305e-011   5.82451e-009
