              T              L            <E>          <|M|>            C_v            chi
              2             20       -260.951        31.4656        413.394       -495.071
           2.02             20       -259.798        31.2614        408.598       -483.797
           2.04             20        -258.89        31.0809        405.273       -473.523
           2.06             20       -257.742        31.0555        401.512       -468.283
           2.08             20       -256.914        31.1888        399.203       -467.782
            2.1             20       -255.864        30.8928        397.012       -454.456
           2.12             20       -254.562         31.026        392.658       -453.999
           2.14             20       -253.708        30.8494        389.297       -444.688
           2.16             20        -252.67        30.7424        386.864       -437.598
           2.18             20       -251.628        30.6198        381.006       -430.111
            2.2             20       -250.541        30.6485        378.917       -426.934
           2.21             20       -249.955        30.6777        378.874       -425.814
           2.22             20       -249.442        30.5151        378.557       -419.434
           2.23             20       -249.006        30.5531        375.913         -418.6
           2.24             20       -248.433        30.4025        371.163        -412.68
           2.25             20       -247.995        30.4266        373.066       -411.478
           2.26             20       -247.329        30.4511        372.553       -410.201
           2.27             20       -247.043        30.3335        373.469       -405.248
           2.28             20       -246.467          30.35         371.39       -404.004
           2.29             20       -245.967        30.1466        368.155       -396.948
            2.3             20       -245.365        30.2863        366.745       -398.801
