      MC Cycles              T              L            <E>          <|M|>            C_v            chi
        1000000              2             40       -1.74528       0.909875       0.764583       -662.299
        1000000           2.02             40       -1.73058       0.904123       0.786091       -647.477
        1000000           2.04             40       -1.71502       0.896497        0.83146       -630.139
        1000000           2.06             40       -1.69835       0.887965       0.879423       -612.198
        1000000           2.08             40       -1.68046       0.878588       0.923491       -593.782
        1000000            2.1             40       -1.66162       0.867508        1.00499       -573.593
        1000000           2.12             40       -1.64166       0.854972        1.06265        -551.68
        1000000           2.14             40       -1.62073       0.842271        1.12798       -530.802
        1000000           2.16             40        -1.5983       0.827564         1.1839       -507.496
        1000000           2.18             40       -1.57364       0.808469        1.29504       -479.889
        1000000            2.2             40        -1.5475       0.787262        1.38935        -450.64
        1000000           2.21             40       -1.53206       0.770471        1.49109       -429.867
        1000000           2.22             40       -1.51714       0.755792        1.55485       -411.643
        1000000           2.23             40       -1.50096       0.736631        1.65188       -389.374
        1000000           2.24             40       -1.48108       0.704146        1.82274       -354.106
        1000000           2.25             40       -1.46641       0.689444        1.81973       -337.917
        1000000           2.26             40       -1.44618       0.659633        1.94968        -307.98
        1000000           2.27             40       -1.43098       0.641316        1.94569       -289.856
        1000000           2.28             40       -1.40773       0.597558        2.01018       -250.577
        1000000           2.29             40       -1.39066        0.57606        2.01257       -231.866
        1000000            2.3             40       -1.36941       0.535825         2.0028       -199.708
