        # Spins      MC cycles    Temperature            <E>            C_v          <|M|>            Chi
             20            100              1        -1.9979       0.019436        0.99945       0.001379
             20            200              1        -1.9996       0.003136         0.9999       0.000196
             20            400              1        -1.9976       0.019748        0.99939      0.0012749
             20            800              1        -1.9971       0.022994        0.99926      0.0015574
             20           1600              1        -1.9973       0.021695        0.99932      0.0014064
             20           3200              1         -1.997        0.02406        0.99923      0.0016677
             20           6400              1        -1.9972       0.022689        0.99929      0.0015266
             20            100            2.4        -1.3584         1.0936        0.69025        0.63109
             20            200            2.4        -1.3135         1.9264         0.5967         3.3504
             20            400            2.4        -1.2206         1.4796        0.43664         4.1529
             20            800            2.4        -1.3098         1.4805        0.58691         2.7413
             20           1600            2.4        -1.2178         1.1283        0.41208         3.0923
             20           3200            2.4        -1.2185          1.415        0.40595         3.7209
             20           6400            2.4        -1.2355         1.3886         0.4403         3.7699
