          alpha         Energy  Mean Distance
            0.7        270.328         3.4675
            0.8        168.137        3.43033
            0.9        80.4327        6.11783
              1        2.99853        6.80085
            1.1       -67.0007        3.08455
            1.2       -131.405        6.10947
            1.3        -191.52        3.33573
            1.4       -248.332        4.24432
            1.5       -302.383        3.45931
            1.6       -354.184        2.76734
            1.7       -403.976        3.61048
            1.8         -452.8        2.11477
            1.9       -500.217        2.65094
