          Alpha           Beta         Energy       Variance  Mean Distance          Omega
            0.5              1      0.0391932    0.000180983        23.5402           0.01
            0.6              1      0.0351669   9.25308e-005        21.3239           0.01
            0.7              1      0.0327658   4.36424e-005        19.6677           0.01
            0.8              1      0.0312372   1.59824e-005         18.411           0.01
            0.9              1      0.0304447   3.77082e-006        17.6426           0.01
              1              1           0.03   4.08202e-011        16.5593           0.01
            1.1              1      0.0298971   3.05321e-006        15.8968           0.01
            1.2              1      0.0300216   1.09991e-005        15.2901           0.01
            1.3              1      0.0306683   2.10954e-005        14.4031           0.01
            1.4              1      0.0308785   3.77875e-005        14.0708           0.01
            1.5              1      0.0315088   5.72171e-005        13.5865           0.01
            1.6              1      0.0322528   7.81143e-005        13.0958           0.01
            1.7              1      0.0328529    0.000103017         12.705           0.01
            1.8              1      0.0338246    0.000121321        12.4126           0.01
            1.9              1      0.0349922    0.000153698        11.9949           0.01
              2              1       0.035958    0.000177748        11.6118           0.01
            2.1              1      0.0363523    0.000223253        11.5968           0.01
            2.2              1      0.0380063    0.000247439         11.192           0.01
