          Alpha         Energy       Variance  Mean Distance          Omega
            0.5        3.98458         1.9513        2.37069              1
            0.6        3.54763       0.952187        2.16448              1
            0.7        3.32183       0.465518        2.03204              1
            0.8        3.14261       0.164654        1.89392              1
            0.9          3.046      0.0369201        1.76887              1
              1              3   3.48734e-011        1.69406              1
            1.1        2.98156        0.03161        1.61668              1
            1.2        2.99419       0.112524        1.51225              1
            1.3        2.99245       0.259023          1.509              1
            1.4         3.0696        0.41104        1.40744              1
            1.5        3.09876       0.616545        1.37945              1
            1.6        3.17425       0.842002        1.32765              1
            1.7        3.27463        1.02753        1.29154              1
            1.8        3.31656        1.31476        1.25681              1
            1.9        3.37996        1.58323        1.24645              1
              2        3.55033        1.84486        1.19239              1
            2.1        3.61304        2.21336        1.17417              1
            2.2        3.67142         2.7653        1.14124              1
            2.3        3.87277        3.02092         1.1048              1
            2.4         4.0083        3.20931        1.07786              1
