          alpha         Energy  Mean Distance
            0.7        262.905         31.687
            0.8        164.216         29.751
            0.9        78.6703        28.0605
              1        2.99884        26.6614
            1.1       -65.6277        25.4463
            1.2       -128.957        24.3886
            1.3       -188.186         23.446
            1.4       -244.332        22.6196
            1.5        -297.99        21.8814
            1.6       -348.874        21.1699
            1.7       -398.456        20.5481
            1.8       -447.065        19.9972
            1.9       -493.368        19.4477
