          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance          Omega
           1.06           0.56      0.0143792    0.000143976      0.0157142   7.58083e-005        16.6188           0.01
           1.06           0.56      0.0428716     0.00120629      0.0482747    0.000693618        9.78348      0.0302041
           1.06           0.56      0.0718533     0.00288307      0.0805131     0.00184654        7.57925      0.0504082
           1.06           0.56       0.101948     0.00559649       0.111613     0.00363404        6.39679      0.0706122
           1.06           0.56       0.126953      0.0109588       0.147291     0.00651139        5.70492      0.0908163
           1.06           0.56        0.15664      0.0130546       0.179222     0.00929899        5.15975        0.11102
           1.06           0.56       0.187274      0.0197681       0.209611      0.0132555        4.72385       0.131224
           1.06           0.56        0.21105      0.0256914        0.24712      0.0179522        4.46664       0.151429
           1.06           0.56       0.241818      0.0299123       0.277945      0.0225886        4.16411       0.171633
           1.06           0.56       0.270687      0.0377103       0.310077      0.0269911        3.92938       0.191837
           1.06           0.56        0.29929      0.0478959       0.341544      0.0340936        3.74781       0.212041
           1.06           0.56       0.321061      0.0568114       0.381397      0.0423461        3.61369       0.232245
           1.06           0.56       0.359319       0.061949       0.404989      0.0472406        3.43617       0.252449
           1.06           0.56       0.376556      0.0783508       0.448465      0.0582254         3.3441       0.272653
           1.06           0.56       0.407877      0.0848449       0.478375      0.0669061        3.20529       0.292857
           1.06           0.56       0.442821      0.0975738       0.504643      0.0755809        3.09632       0.313061
           1.06           0.56       0.464987       0.112154       0.542677      0.0874341        3.00094       0.333265
           1.06           0.56       0.491826       0.126894       0.576947      0.0970952        2.92397       0.353469
           1.06           0.56       0.521664       0.135683       0.609939       0.109605        2.85489       0.373673
           1.06           0.56       0.555859       0.148723        0.63509       0.118638        2.74774       0.393878
           1.06           0.56       0.578702       0.163926        0.67523       0.135228        2.69776       0.414082
           1.06           0.56       0.613249       0.179394       0.701678       0.141568        2.63397       0.434286
           1.06           0.56        0.63101       0.284581       0.743666       0.159913        2.59063        0.45449
           1.06           0.56       0.660931        0.22717        0.77449       0.176065        2.51438       0.474694
           1.06           0.56       0.691082       0.231642        0.80674        0.18814        2.47496       0.494898
           1.06           0.56       0.720372       0.241496       0.838878       0.199545        2.43368       0.515102
           1.06           0.56       0.735538        0.28754       0.882921       0.228304        2.39305       0.535306
           1.06           0.56       0.768697       0.284837       0.912396       0.237392        2.34594        0.55551
           1.06           0.56       0.808959         0.2966       0.932994       0.251791        2.28355       0.575714
           1.06           0.56       0.828901       0.319261       0.975296       0.267296        2.25404       0.595918
           1.06           0.56       0.856171       0.369712        1.00629       0.296042        2.22281       0.616122
           1.06           0.56       0.891701       0.366581        1.03499       0.308208         2.1873       0.636327
           1.06           0.56       0.915268       0.408106        1.06932       0.324648        2.13784       0.656531
           1.06           0.56       0.946013       0.413388        1.10235       0.354049        2.11542       0.676735
           1.06           0.56       0.958491       0.469743        1.14641       0.396284         2.0856       0.696939
           1.06           0.56       0.998281       0.472169        1.17005       0.401021        2.04883       0.717143
           1.06           0.56        1.02058       0.518583        1.20775        0.43639        2.02691       0.737347
           1.06           0.56        1.04982       0.540344        1.24126       0.450354        1.99782       0.757551
           1.06           0.56        1.09036       0.520465        1.26189       0.441805        1.96489       0.777755
           1.06           0.56        1.11755       0.589362        1.29761       0.500529        1.94573       0.797959
           1.06           0.56        1.13256       0.628147        1.33964       0.536149        1.91954       0.818163
           1.06           0.56        1.15762       0.633066        1.37723       0.544507        1.90283       0.838367
           1.06           0.56        1.18774       0.723458        1.40526       0.606035        1.86654       0.858571
           1.06           0.56        1.23412       0.681458        1.42288       0.578873        1.84711       0.878776
           1.06           0.56        1.24857       0.737664        1.46764       0.626764        1.83078        0.89898
           1.06           0.56        1.29423       0.755846        1.48469       0.636963        1.80543       0.919184
           1.06           0.56        1.30345       0.810755        1.53809       0.703232        1.80201       0.939388
           1.06           0.56        1.35236       0.817498        1.55141       0.705118        1.77126       0.959592
           1.06           0.56        1.36643       0.856787        1.59657       0.738158        1.75633       0.979796
           1.06           0.56        1.38781       0.901866        1.63565       0.778258        1.74148              1
