          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance          Omega
           1.06           0.56      0.0144675    0.000129061      0.0901029     0.00196611        16.5741           0.01
           1.06           0.56      0.0432567      0.0013743       0.173195     0.00531744        9.73205      0.0302041
           1.06           0.56      0.0720676     0.00328994       0.240562     0.00810184        7.57161      0.0504082
           1.06           0.56        0.10049     0.00661256        0.30224      0.0122087         6.4202      0.0706122
           1.06           0.56        0.12861      0.0136088       0.358538      0.0188255        5.72777      0.0908163
           1.06           0.56       0.156921      0.0133157       0.413686      0.0181597        5.17895        0.11102
           1.06           0.56        0.18669       0.017582       0.465778      0.0220899        4.75355       0.131224
           1.06           0.56         0.2141      0.0233743       0.519586      0.0261404        4.41576       0.151429
           1.06           0.56        0.23911      0.0298238       0.569301      0.0288326        4.20303       0.171633
           1.06           0.56       0.271966       0.036039       0.616528      0.0344418        3.94684       0.191837
           1.06           0.56       0.301023      0.0455559        0.66664      0.0428752        3.72708       0.212041
           1.06           0.56       0.326758      0.0518049       0.712906      0.0453732        3.60119       0.232245
           1.06           0.56       0.352245      0.0645168       0.763721      0.0553097        3.45446       0.252449
           1.06           0.56       0.383279      0.0778622       0.808028      0.0662579        3.31917       0.272653
           1.06           0.56       0.417153      0.0785253       0.850699      0.0648347        3.19563       0.292857
           1.06           0.56       0.437153       0.098372       0.902903      0.0808589        3.09719       0.313061
           1.06           0.56       0.470201       0.106798       0.945072      0.0854726        2.98727       0.333265
           1.06           0.56       0.499397       0.125463        0.99272       0.103989        2.88295       0.353469
           1.06           0.56       0.525117       0.133368        1.03399       0.104002         2.8431       0.373673
           1.06           0.56       0.543972       0.149358        1.08497       0.113296        2.78265       0.393878
           1.06           0.56        0.57654       0.167439        1.12946       0.130212        2.68735       0.414082
           1.06           0.56       0.610048        0.18178        1.16819        0.13533        2.62826       0.434286
           1.06           0.56        0.63629       0.198561        1.21227       0.148958        2.57722        0.45449
           1.06           0.56       0.657832       0.220422        1.25988       0.160953        2.53867       0.474694
           1.06           0.56       0.686562       0.241321        1.30432       0.181032        2.47153       0.494898
           1.06           0.56        0.72246       0.248233        1.34091       0.182912        2.41437       0.515102
           1.06           0.56       0.749216       0.273923        1.38352       0.200821         2.3811       0.535306
           1.06           0.56       0.780761       0.288889        1.42653       0.213872        2.32065        0.55551
           1.06           0.56       0.809646       0.293426        1.46348       0.210792        2.29701       0.575714
           1.06           0.56       0.852306       0.310146        1.49728       0.225331        2.22928       0.595918
           1.06           0.56        0.87585       0.338479        1.53927       0.242488        2.21816       0.616122
           1.06           0.56       0.898644       0.368073        1.58636       0.258468        2.18501       0.636327
           1.06           0.56       0.912529       0.413109        1.64306       0.300279        2.14212       0.656531
           1.06           0.56       0.950445       0.408848        1.67491       0.296885        2.10914       0.676735
           1.06           0.56       0.960662       0.502328        1.73376       0.370294        2.08511       0.696939
           1.06           0.56        1.00634       0.475027        1.75912       0.339959        2.04971       0.717143
           1.06           0.56        1.01145       0.495347        1.81672       0.354064        2.03883       0.737347
           1.06           0.56        1.03982       0.530275        1.85865       0.374521         2.0108       0.757551
           1.06           0.56        1.08581       0.542599        1.88653       0.390088        1.96831       0.777755
           1.06           0.56        1.10395       0.610833        1.93276       0.442234        1.96085       0.797959
           1.06           0.56        1.13144       0.628743         1.9741       0.446677        1.94044       0.818163
           1.06           0.56        1.15689       0.659419        2.02056       0.468034         1.9029       0.838367
           1.06           0.56        1.19913       0.644589        2.04976       0.463538        1.87045       0.858571
           1.06           0.56        1.22722       0.721105        2.09044       0.513621        1.85211       0.878776
           1.06           0.56        1.26769       0.696068        2.12289       0.496055        1.81867        0.89898
           1.06           0.56        1.26639        0.77655        2.18333       0.554006        1.82478       0.919184
           1.06           0.56        1.32724       0.806764        2.20021       0.588113        1.77673       0.939388
           1.06           0.56        1.33382       0.828282         2.2563        0.59271        1.77707       0.959592
           1.06           0.56         1.3515       0.883579        2.30446       0.626669         1.7643       0.979796
           1.06           0.56        1.36909       0.926235        2.35313        0.66546        1.74693              1
