          Alpha           Beta         Energy       Variance  Mean Distance          Omega
            0.5              1      0.0392837    0.000186313        23.5037           0.01
           0.52              1      0.0384989    0.000163734        23.1938           0.01
           0.54              1      0.0373343    0.000138669        22.5012           0.01
           0.56              1      0.0364858    0.000120454        22.1295           0.01
           0.58              1      0.0358873    0.000107767         21.819           0.01
            0.6              1      0.0352887   9.36273e-005        21.4883           0.01
           0.62              1      0.0347107   8.14504e-005         21.139           0.01
           0.64              1      0.0342012   7.00231e-005        20.8527           0.01
           0.66              1      0.0336599   5.93228e-005         20.435           0.01
           0.68              1      0.0332271   5.14745e-005        20.1493           0.01
            0.7              1      0.0326968   4.32104e-005        19.7558           0.01
           0.72              1      0.0324231   3.60379e-005        19.5684           0.01
           0.74              1      0.0320642   3.02993e-005          19.33           0.01
           0.76              1      0.0317197   2.48677e-005        18.9465           0.01
           0.78              1      0.0315375   2.10149e-005        18.8041           0.01
            0.8              1      0.0312976    1.6563e-005        18.6137           0.01
           0.82              1      0.0311008   1.31022e-005        18.3574           0.01
           0.84              1      0.0308696   1.01714e-005        18.1075           0.01
           0.86              1      0.0307133   7.69117e-006        17.9305           0.01
           0.88              1      0.0305397   5.35248e-006        17.6881           0.01
            0.9              1      0.0304098    3.6262e-006        17.4601           0.01
           0.92              1      0.0303018   2.29522e-006          17.32           0.01
           0.94              1      0.0302013   1.25715e-006        17.1804           0.01
           0.96              1      0.0301284   5.58504e-007        16.9335           0.01
           0.98              1      0.0300569   1.34424e-007        16.8437           0.01
              1              1           0.03    4.1158e-011         16.632           0.01
           1.02              1      0.0299607   1.27879e-007        16.3797           0.01
           1.04              1      0.0299386   4.97054e-007        16.2272           0.01
           1.06              1      0.0299045   1.12968e-006        16.1081           0.01
           1.08              1      0.0299145   1.94937e-006        15.9062           0.01
            1.1              1      0.0299089   2.96672e-006        15.8603           0.01
           1.12              1      0.0299181   4.24359e-006        15.6927           0.01
           1.14              1      0.0299495   5.71286e-006        15.5466           0.01
           1.16              1      0.0299647   7.30516e-006        15.5164           0.01
           1.18              1      0.0300638   9.01428e-006        15.2434           0.01
            1.2              1      0.0300995   1.08364e-005        15.0805           0.01
           1.22              1      0.0301344   1.31435e-005         15.012           0.01
           1.24              1      0.0302297   1.54506e-005        14.8753           0.01
           1.26              1      0.0302717     1.754e-005        14.7932           0.01
           1.28              1      0.0303545    2.0317e-005        14.7039           0.01
            1.3              1      0.0304016   2.29255e-005        14.5767           0.01
           1.32              1      0.0305314   2.52647e-005        14.3358           0.01
           1.34              1      0.0305737   2.89433e-005         14.351           0.01
           1.36              1      0.0305888   3.20738e-005        14.2816           0.01
           1.38              1      0.0308463   3.44312e-005        14.1675           0.01
            1.4              1      0.0308697   3.89258e-005        14.1105           0.01
           1.42              1      0.0309506   4.29731e-005        13.9648           0.01
           1.44              1       0.031154   4.48736e-005        13.8431           0.01
           1.46              1      0.0311696   4.98465e-005         13.775           0.01
           1.48              1      0.0314128    5.2018e-005        13.6344           0.01
