          Alpha           Beta         Energy       Variance  Mean Distance          Omega Accepted configs (%)
            0.5            0.2      0.0867287    0.000276096         26.645           0.01        0.63618
            0.5           0.22      0.0871023    0.000303768        26.1626           0.01       0.635414
            0.5           0.24      0.0876097    0.000346559        25.8974           0.01       0.635567
            0.5           0.26      0.0879615    0.000385948        25.6152           0.01       0.635635
            0.5           0.28       0.088292    0.000419572        25.3773           0.01       0.635177
            0.5            0.3      0.0885135    0.000448856        25.2137           0.01        0.63375
            0.5           0.32      0.0889368    0.000483796        24.9922           0.01       0.634285
            0.5           0.34      0.0894079    0.000530185        24.8725           0.01       0.633713
            0.5           0.36      0.0894452    0.000548555        24.7408           0.01       0.633196
            0.5           0.38      0.0897035    0.000571175        24.6531           0.01       0.632473
            0.5            0.4      0.0898092    0.000609508        24.5748           0.01        0.63304
            0.5           0.42      0.0900094    0.000618054        24.5102           0.01       0.632637
            0.5           0.44       0.090311    0.000653432        24.3874           0.01       0.632626
            0.5           0.46      0.0904743    0.000676073        24.4194           0.01       0.632412
            0.5           0.48      0.0905331    0.000694483        24.3074           0.01       0.632269
            0.5            0.5      0.0908361    0.000719433        24.2467           0.01       0.631695
            0.5           0.52       0.090826    0.000742543          24.24           0.01       0.631914
            0.5           0.54      0.0907911    0.000750227        24.2474           0.01       0.630932
            0.5           0.56      0.0909834    0.000766098        24.1133           0.01       0.631966
            0.5           0.58      0.0910737    0.000787856        24.0998           0.01       0.630851
            0.5            0.6      0.0911799    0.000802925        24.0412           0.01       0.631083
            0.5           0.62      0.0915851    0.000840179         23.945           0.01       0.631265
            0.5           0.64      0.0913934    0.000830571        24.0053           0.01       0.630834
            0.5           0.66      0.0915949    0.000856218        23.8375           0.01       0.630765
            0.5           0.68      0.0915288    0.000869692        23.9105           0.01       0.631429
           0.52            0.2      0.0863778    0.000274344        26.1449           0.01       0.635803
           0.52           0.22      0.0868321    0.000308154        25.7387           0.01       0.636317
           0.52           0.24      0.0872564    0.000348609        25.3837           0.01       0.635152
           0.52           0.26       0.087934    0.000401531        25.1416           0.01       0.635406
           0.52           0.28      0.0881382    0.000421948        24.9463           0.01       0.635282
           0.52            0.3      0.0883694    0.000457805        24.7885           0.01       0.634671
           0.52           0.32      0.0889019    0.000502187         24.588           0.01       0.634025
           0.52           0.34      0.0891757    0.000530443        24.4044           0.01       0.633897
           0.52           0.36      0.0892384    0.000555858        24.3239           0.01       0.634354
           0.52           0.38      0.0896486    0.000588803         24.234           0.01       0.632603
           0.52            0.4       0.089718    0.000613103        24.1284           0.01         0.6328
           0.52           0.42      0.0899814    0.000637908        24.1153           0.01        0.63285
           0.52           0.44      0.0902641    0.000687521        23.9115           0.01       0.632815
           0.52           0.46      0.0902413    0.000694752        23.8702           0.01       0.632997
           0.52           0.48      0.0906663    0.000733952        23.8037           0.01        0.63153
           0.52            0.5      0.0905218    0.000723553        23.8276           0.01       0.631805
           0.52           0.52      0.0907147     0.00075676        23.7119           0.01       0.631494
           0.52           0.54      0.0910393    0.000801702        23.6234           0.01       0.630812
           0.52           0.56      0.0910258    0.000802108        23.6945           0.01       0.631677
           0.52           0.58      0.0911763     0.00081236         23.512           0.01       0.631553
           0.52            0.6      0.0911506    0.000824586        23.6434           0.01       0.630659
           0.52           0.62      0.0912245    0.000840673        23.5311           0.01       0.631126
           0.52           0.64      0.0913869    0.000873905        23.4989           0.01       0.630973
           0.52           0.66      0.0916706    0.000905556        23.3816           0.01       0.630987
           0.52           0.68      0.0915597     0.00090651        23.4573           0.01       0.630884
           0.54            0.2       0.086245    0.000280052        25.5906           0.01       0.636382
           0.54           0.22      0.0867853      0.0003196        25.1436           0.01       0.637153
           0.54           0.24      0.0871158    0.000357789         24.957           0.01       0.635854
           0.54           0.26      0.0877091    0.000402964        24.6742           0.01       0.635525
           0.54           0.28      0.0880254    0.000434929        24.5015           0.01       0.635976
           0.54            0.3       0.088314    0.000473832        24.3333           0.01       0.633618
           0.54           0.32      0.0886364    0.000503263        24.2203           0.01       0.634408
           0.54           0.34      0.0891911    0.000558618        24.0177           0.01       0.633467
           0.54           0.36      0.0893617    0.000582065        23.9639           0.01       0.633115
           0.54           0.38       0.089572    0.000601678        23.7011           0.01       0.632506
           0.54            0.4      0.0897612    0.000633161        23.6999           0.01       0.633717
           0.54           0.42      0.0900845    0.000670286        23.6043           0.01       0.633322
           0.54           0.44       0.090205    0.000703964        23.4852           0.01       0.632236
           0.54           0.46       0.090576    0.000735549        23.3724           0.01       0.632803
           0.54           0.48      0.0906635    0.000747511        23.3935           0.01       0.632374
           0.54            0.5      0.0905945    0.000757595        23.3811           0.01       0.632233
           0.54           0.52      0.0909046    0.000784381        23.2773           0.01       0.631916
           0.54           0.54      0.0909322    0.000814767        23.2382           0.01       0.631731
           0.54           0.56      0.0910475    0.000822035        23.2474           0.01       0.631615
           0.54           0.58      0.0912228    0.000859747        23.1861           0.01       0.631216
           0.54            0.6      0.0914204    0.000888688        23.1181           0.01       0.630992
           0.54           0.62      0.0913447    0.000888207        23.1125           0.01       0.630612
           0.54           0.64       0.091492    0.000898058        23.0951           0.01       0.630422
           0.54           0.66      0.0916145    0.000914805         23.143           0.01       0.630617
