          Alpha           Beta         Energy       Variance  Mean Distance          Omega
            0.5            0.2        4.83475         2.1591        2.77537              1
            0.5           0.22        4.80642        2.11512        2.75054              1
            0.5           0.24        4.78933        2.05747        2.73187              1
            0.5           0.26        4.78034        2.07858        2.71877              1
            0.5           0.28        4.74907        1.98757        2.69276              1
            0.5            0.3        4.72678        1.95072        2.67345              1
            0.5           0.32        4.72212        1.98305        2.66169              1
            0.5           0.34        4.68925        1.88439        2.63664              1
            0.5           0.36        4.66517        1.87336        2.61654              1
            0.5           0.38         4.6601         1.8563        2.60799              1
            0.5            0.4        4.65701        1.86467        2.59535              1
            0.5           0.42        4.62995        1.82185         2.5795              1
            0.5           0.44        4.63678        1.78562        2.57596              1
            0.5           0.46        4.61725         1.7748        2.56064              1
            0.5           0.48        4.62119        1.79346        2.56047              1
            0.5            0.5        4.60707        1.76895        2.55021              1
            0.5           0.52        4.61782        1.77526         2.5539              1
            0.5           0.54        4.58963         1.7521        2.53169              1
            0.5           0.56        4.58805        1.71607        2.53321              1
            0.5           0.58        4.59026        1.72653        2.51757              1
            0.5            0.6        4.58117        1.70044        2.51704              1
            0.5           0.62        4.57353        1.69955        2.50467              1
            0.5           0.64        4.59531         1.7502        2.51099              1
            0.5           0.66        4.58073        1.70309        2.51011              1
            0.5           0.68        4.56866        1.69928        2.49865              1
           0.52            0.2        4.72612         1.8928        2.72555              1
           0.52           0.22        4.71153        1.86944        2.70146              1
           0.52           0.24        4.66186        1.80651        2.66483              1
           0.52           0.26        4.65318        1.78202        2.64481              1
           0.52           0.28        4.63092        1.72862        2.63227              1
           0.52            0.3        4.63547        1.73584        2.62801              1
           0.52           0.32        4.59739        1.70292        2.59306              1
           0.52           0.34        4.58461        1.66339        2.58312              1
           0.52           0.36        4.57372         1.6304        2.56384              1
           0.52           0.38        4.56344         1.6137        2.55557              1
           0.52            0.4        4.53968        1.58677        2.53894              1
           0.52           0.42        4.54546        1.56892        2.53429              1
           0.52           0.44        4.53659        1.57599        2.52888              1
           0.52           0.46        4.52466        1.55531        2.51319              1
           0.52           0.48        4.51076        1.53254        2.50472              1
           0.52            0.5        4.51936         1.5414        2.49935              1
           0.52           0.52        4.50289        1.52046        2.49231              1
           0.52           0.54        4.50672        1.51019        2.48661              1
           0.52           0.56        4.51135         1.5401        2.48411              1
