          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance          Omega
           0.58            0.2     0.00770378   4.86809e-005      0.0312311    0.000261475        24.7947           0.01
           0.58            0.2      0.0228843    0.000385457      0.0972113     0.00247986        14.7152      0.0302041
           0.58            0.2        0.03785     0.00105187       0.164641     0.00697043        11.5694      0.0504082
           0.58            0.2      0.0524223     0.00193058       0.232616      0.0141455        9.82342      0.0706122
           0.58            0.2      0.0675156     0.00288166       0.299729      0.0232873        8.70421      0.0908163
           0.58            0.2      0.0820004     0.00424079       0.367414       0.034759        7.86545        0.11102
           0.58            0.2      0.0964233     0.00605733       0.435191      0.0495438        7.24495       0.131224
           0.58            0.2       0.110816     0.00743443       0.504914      0.0659783        6.77733       0.151429
           0.58            0.2       0.126193      0.0094661       0.569645      0.0836788        6.35216       0.171633
           0.58            0.2       0.140249      0.0117497       0.638582       0.105325        6.00554       0.191837
           0.58            0.2       0.154792      0.0140822       0.705675       0.129278        5.71421       0.212041
           0.58            0.2       0.169675      0.0167071       0.772997       0.155272        5.46184       0.232245
           0.58            0.2       0.183129      0.0198557       0.843824       0.185822         5.2517       0.252449
           0.58            0.2       0.198305       0.022699       0.906873       0.216304        5.02515       0.272653
           0.58            0.2        0.21251      0.0271867       0.975934       0.248289         4.8722       0.292857
           0.58            0.2       0.226019      0.0299053        1.04501       0.288458        4.70107       0.313061
           0.58            0.2          0.242      0.0329425        1.10593       0.320197        4.54091       0.333265
           0.58            0.2       0.255846      0.0368401        1.17746       0.359976        4.42188       0.353469
           0.58            0.2       0.270036      0.0411379        1.24353       0.407605        4.28806       0.373673
           0.58            0.2       0.286124      0.0448458        1.30908       0.453978        4.19312       0.393878
           0.58            0.2       0.301141      0.0501857        1.36784        0.50146        4.06048       0.414082
           0.58            0.2       0.314081      0.0544194        1.44158       0.549374        3.97873       0.434286
           0.58            0.2       0.328493      0.0607044        1.50986        0.60867        3.89477        0.45449
           0.58            0.2       0.343569      0.0658499        1.57414       0.655319        3.80123       0.474694
           0.58            0.2       0.356877      0.0706984        1.64586       0.718717         3.7334       0.494898
           0.58            0.2       0.373272      0.0756332        1.70047       0.774257        3.63315       0.515102
           0.58            0.2       0.385724      0.0825013        1.77583       0.837474         3.5742       0.535306
           0.58            0.2       0.403803      0.0871451        1.82532       0.891432        3.48952        0.55551
           0.58            0.2       0.413426      0.0939226        1.91159       0.982717        3.44756       0.575714
           0.58            0.2       0.427728       0.100494        1.97388        1.04306        3.37305       0.595918
           0.58            0.2       0.446708       0.107359        2.02675            1.1        3.31198       0.616122
           0.58            0.2        0.45958       0.111395        2.09771        1.18612        3.26005       0.636327
           0.58            0.2        0.47127        0.11808        2.17028         1.2626        3.20524       0.656531
           0.58            0.2       0.489191       0.124718        2.22521        1.34725        3.15756       0.676735
           0.58            0.2       0.503969       0.131783        2.29546         1.4032        3.11581       0.696939
           0.58            0.2       0.513338       0.146167         2.3751        1.52294        3.07569       0.717143
           0.58            0.2       0.533361       0.145885        2.42516        1.58588        3.02651       0.737347
           0.58            0.2       0.547464       0.157824        2.48836        1.66653        2.97811       0.757551
           0.58            0.2        0.56111       0.160933        2.55255        1.74577        2.92871       0.777755
           0.58            0.2       0.579402       0.167906        2.60256        1.82642        2.88207       0.797959
           0.58            0.2       0.589116       0.183016        2.68702        1.95634        2.85763       0.818163
           0.58            0.2       0.603194       0.242433        2.75678        2.06312        2.83408       0.838367
           0.58            0.2       0.623027       0.195367        2.80301        2.11727        2.78889       0.858571
           0.58            0.2       0.635235       0.208521        2.87521        2.26257        2.75395       0.878776
           0.58            0.2       0.648284       0.214798        2.94547        2.33882         2.7231        0.89898
           0.58            0.2       0.667132       0.227307        2.99498        2.44863        2.68822       0.919184
           0.58            0.2       0.680386       0.233002        3.05862         2.5327         2.6508       0.939388
           0.58            0.2       0.694952       0.241109         3.1277        2.66434         2.6238       0.959592
           0.58            0.2       0.703265       0.258075        3.21244        2.82359        2.60614       0.979796
           0.58            0.2       0.720039       0.264395         3.2727        2.92084        2.57609              1
