          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance         Omega  Accepted configs (%)
           0.98           0.52      0.0133379    0.000410572      0.0169967   8.72274e-005        17.3684           0.01       0.632287
           0.98           0.52      0.0396783     0.00378292      0.0521904    0.000805953        10.1784      0.0302041       0.634099
           0.98           0.52      0.0665779      0.0104556      0.0870919     0.00224238        7.92167      0.0504082       0.635458
           0.98           0.52      0.0927732      0.0200905       0.122741     0.00437072        6.72745      0.0706122        0.63517
           0.98           0.52       0.118932      0.0330272       0.158487     0.00728373        5.95369      0.0908163       0.634772
           0.98           0.52       0.144856      0.0487225       0.194265      0.0109738        5.39101        0.11102       0.635515
           0.98           0.52       0.171349       0.068839       0.229557      0.0152613        4.96124       0.131224       0.635804
           0.98           0.52       0.196502      0.0905891       0.266689      0.0203489        4.65105       0.151429       0.635928
           0.98           0.52       0.222913       0.116318       0.301801      0.0265035        4.35452       0.171633       0.637093
           0.98           0.52       0.250408       0.143877       0.336325       0.032992        4.12039       0.191837       0.636844
           0.98           0.52       0.274955       0.174293       0.373334      0.0406144        3.92202       0.212041       0.636965
           0.98           0.52       0.302148       0.211106       0.407962      0.0484252        3.74557       0.232245       0.636473
           0.98           0.52       0.326385       0.245826       0.445742      0.0580477        3.60162       0.252449       0.637495
           0.98           0.52       0.351502       0.286899       0.482877      0.0668081        3.47609       0.272653       0.637963
           0.98           0.52       0.379419       0.330995       0.516431      0.0770587        3.34818       0.292857        0.63668
           0.98           0.52       0.402703       0.376634       0.555479      0.0892368        3.25247       0.313061       0.637332
           0.98           0.52       0.433295       0.430308       0.585781      0.0990821        3.13966       0.333265       0.637394
           0.98           0.52       0.458249       0.484332       0.622298       0.111761        3.04868       0.353469        0.63707
           0.98           0.52       0.482471       0.536999       0.660644       0.124472        2.96767       0.373673       0.637215
           0.98           0.52       0.507902       0.595026       0.697588       0.140165        2.89932       0.393878        0.63712
           0.98           0.52       0.538017       0.657418       0.728245       0.152637        2.81135       0.414082       0.637845
           0.98           0.52       0.561485       0.723089       0.767329       0.169465        2.75675       0.434286       0.637371
           0.98           0.52       0.586155       0.791325       0.803591       0.186427        2.69126        0.45449       0.636616
           0.98           0.52       0.610712       0.862121       0.842194        0.20326        2.63779       0.474694       0.637061
           0.98           0.52       0.634563       0.934851       0.879377       0.222716        2.58825       0.494898       0.637032
           0.98           0.52       0.659824        1.01595        0.91604       0.240781        2.53502       0.515102        0.63797
           0.98           0.52       0.687586        1.08801       0.950287       0.263243        2.48983       0.535306       0.636993
           0.98           0.52       0.710937        1.17116       0.988235        0.28185        2.44391        0.55551       0.636876
           0.98           0.52       0.744745        1.27899        1.01497       0.297948        2.39343       0.575714        0.63708
           0.98           0.52       0.770593         1.3527        1.05191       0.319106         2.3512       0.595918       0.636796
           0.98           0.52        0.79053        1.43574        1.09363       0.349281        2.31207       0.616122       0.637562
           0.98           0.52       0.824455        1.54659        1.12019       0.360405        2.27126       0.636327       0.636877
           0.98           0.52       0.842431        1.63885        1.16519       0.391741        2.24471       0.656531       0.638179
           0.98           0.52       0.874123         1.7366        1.19307       0.415931        2.19974       0.676735       0.637821
           0.98           0.52       0.896573        1.84175         1.2347        0.44083        2.17947       0.696939       0.636827
           0.98           0.52       0.923057        1.95409        1.26922       0.462005        2.14705       0.717143       0.637324
           0.98           0.52        0.94829        2.06022        1.30618       0.492758        2.11593       0.737347       0.636647
           0.98           0.52       0.972548        2.16989        1.34289       0.523944        2.08926       0.757551       0.637562
           0.98           0.52        1.00783        2.29346        1.36933       0.544555        2.05472       0.777755       0.637323
           0.98           0.52        1.01948        2.38352        1.42042       0.597074        2.03934       0.797959        0.63835
           0.98           0.52        1.04799        2.53093        1.45467         0.6061        2.01725       0.818163       0.637523
           0.98           0.52        1.07221        2.63436        1.49019        0.65369        1.98232       0.838367       0.637477
           0.98           0.52        1.10451         2.7716        1.51845       0.682994        1.95959       0.858571       0.637008
           0.98           0.52        1.13206        2.91954        1.55417       0.701887        1.93948       0.878776       0.637993
           0.98           0.52        1.14922         3.0102        1.59809       0.761502        1.91817        0.89898       0.637249
           0.98           0.52        1.17418        3.17156        1.63428        0.77513        1.89225       0.919184       0.637768
           0.98           0.52        1.20877        3.31933        1.66107        0.80883        1.87342       0.939388       0.637325
           0.98           0.52        1.23161        3.47278        1.70091       0.833487        1.85742       0.959592       0.637375
           0.98           0.52        1.26478        3.60649        1.72708       0.878142        1.82945       0.979796       0.638049
           0.98           0.52        1.27828        3.75187        1.77821       0.913407        1.82013              1        0.63763
