          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance          Omega
           0.58            0.2     0.00567268    0.000196187       0.123902     0.00192969        9.05671           0.01
           0.58            0.2      0.0359617     0.00993559       0.159305     0.00215349        8.02104      0.0302041
           0.58            0.2      0.0623561      0.0237131       0.204767     0.00230588        7.41668      0.0504082
           0.58            0.2      0.0845428      0.0409252       0.260984     0.00376014        6.99938      0.0706122
           0.58            0.2       0.104086      0.0635108       0.325755     0.00548809        6.69608      0.0908163
           0.58            0.2       0.118966      0.0903463       0.404458     0.00893093        6.49935        0.11102
           0.58            0.2       0.130893         0.1173       0.490947      0.0176745        6.30812       0.131224
           0.58            0.2       0.139235       0.146042       0.588611      0.0302354        6.16124       0.151429
           0.58            0.2       0.145772       0.171701       0.692164      0.0505027        6.00273       0.171633
           0.58            0.2        0.14725       0.196763       0.810253      0.0747004        5.89812       0.191837
           0.58            0.2       0.141931       0.205769       0.949571       0.115088        5.86523       0.212041
           0.58            0.2       0.142503       0.218555        1.06994       0.158117        5.73505       0.232245
           0.58            0.2       0.131542       0.194735        1.22672       0.234066        5.70022       0.252449
           0.58            0.2       0.117334       0.156859         1.3923       0.311318        5.62431       0.272653
           0.58            0.2       0.101142      0.0820037        1.56375        0.42823        5.58915       0.292857
           0.58            0.2      0.0793741     -0.0377506        1.75287       0.576215         5.5727       0.313061
           0.58            0.2      0.0714018     -0.0906505        1.89878       0.661986        5.36616       0.333265
           0.58            0.2      0.0452672      -0.288298        2.09938       0.874382        5.38624       0.353469
           0.58            0.2       0.013384      -0.533393        2.31723        1.08503        5.35933       0.373673
           0.58            0.2     -0.0222482      -0.886157        2.54783        1.41041        5.35992       0.393878
           0.58            0.2     -0.0519173        -1.2113         2.7588        1.68686        5.28542       0.414082
           0.58            0.2     -0.0817667        -1.5973        2.96947         2.0268        5.20867       0.434286
           0.58            0.2      -0.147219       -2.34806        3.29174        2.51108         5.2988        0.45449
           0.58            0.2      -0.216816       -3.24626        3.62241        3.04402        5.27416       0.474694
           0.58            0.2      -0.234078       -3.60739        3.80327         3.3142        5.25401       0.494898
           0.58            0.2      -0.301711       -4.82042        4.12154        4.23034        5.17454       0.515102
           0.58            0.2       -0.37861       -6.14657        4.47469        4.99367         5.1846       0.535306
           0.58            0.2      -0.407299       -6.79146        4.68495        5.39383        5.16889        0.55551
           0.58            0.2      -0.494722       -8.52729        5.07076          6.351        5.15737       0.575714
           0.58            0.2      -0.537046       -9.67736        5.31968        7.17766        5.12481       0.595918
           0.58            0.2      -0.589764       -11.1139        5.59913        8.16296        5.10099       0.616122
           0.58            0.2      -0.689068       -13.4118        6.02053         9.2437        5.07538       0.636327
           0.58            0.2      -0.801023       -16.3017        6.47484        10.7048        5.09844       0.656531
           0.58            0.2      -0.869769       -18.6634        6.80675         12.319        5.08087       0.676735
           0.58            0.2       -0.98986       -22.4073        7.29048         14.389         5.1404       0.696939
           0.58            0.2       -1.02704       -24.2246        7.52323         15.826        5.09417       0.717143
