          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance         Omega  Accepted configs (%)
           0.98           0.52      0.0132838     0.00228069      0.0871996     0.00161967        17.4724           0.01       0.632197
           0.98           0.52      0.0396309      0.0128175        0.17225     0.00466402         10.164      0.0302041        0.63375
           0.98           0.52      0.0667191      0.0305635       0.240383     0.00696984         7.9179      0.0504082       0.634202
           0.98           0.52      0.0930024      0.0528627       0.303128      0.0104184        6.72208      0.0706122       0.635614
           0.98           0.52       0.118521      0.0797705        0.36291      0.0142374        5.94355      0.0908163       0.634994
           0.98           0.52       0.144848       0.112776       0.419412      0.0177202        5.38704        0.11102       0.635193
           0.98           0.52       0.170395       0.149724       0.474764      0.0218807        4.96599       0.131224       0.636084
           0.98           0.52       0.197361       0.191897        0.52723      0.0268022        4.63248       0.151429       0.635749
           0.98           0.52       0.223484        0.23893       0.579888      0.0315322        4.34821       0.171633       0.635733
           0.98           0.52       0.248219       0.287227       0.631425       0.038015        4.13823       0.191837       0.636463
           0.98           0.52       0.275149       0.343335       0.681706      0.0441345        3.93259       0.212041       0.636795
           0.98           0.52       0.299407       0.402094       0.734258      0.0505098        3.75147       0.232245       0.636486
           0.98           0.52       0.326859       0.464875       0.782211      0.0597824        3.60106       0.252449       0.637363
           0.98           0.52       0.354962       0.536507       0.828636      0.0653747        3.46872       0.272653       0.637055
           0.98           0.52       0.378379       0.604314       0.880396      0.0758581        3.34243       0.292857       0.637159
           0.98           0.52       0.405371       0.680162        0.92672       0.085228        3.23756       0.313061       0.637103
           0.98           0.52       0.431325       0.757085       0.974696       0.098095        3.13794       0.333265        0.63732
           0.98           0.52        0.45635       0.844887        1.02307       0.103568        3.04988       0.353469       0.637056
           0.98           0.52        0.47573       0.915853        1.07579       0.122484        2.97833       0.373673       0.636991
           0.98           0.52        0.50862        1.01865        1.11576       0.131171        2.89478       0.393878       0.637288
           0.98           0.52       0.530842        1.11392        1.16619       0.139176        2.82477       0.414082       0.637496
           0.98           0.52          0.559        1.21648        1.21181       0.153624        2.74416       0.434286       0.637618
           0.98           0.52       0.586516        1.32077        1.25479       0.166234        2.69258        0.45449       0.637358
           0.98           0.52       0.611498        1.42853        1.30119       0.178081        2.64081       0.474694       0.637117
           0.98           0.52       0.634041        1.53116         1.3502       0.196206        2.58675       0.494898       0.637254
           0.98           0.52        0.66231        1.65157        1.39345       0.209456        2.53298       0.515102       0.637113
           0.98           0.52       0.688166        1.77337        1.43877       0.222162        2.48585       0.535306       0.636944
           0.98           0.52       0.714527        1.89744        1.48354       0.237867        2.43681        0.55551       0.636612
           0.98           0.52       0.742103        2.02674         1.5277       0.256003        2.38628       0.575714        0.63729
           0.98           0.52       0.763713        2.14654        1.57497       0.274307        2.36161       0.595918       0.637486
           0.98           0.52       0.795347        2.28886        1.61498       0.295343        2.31222       0.616122       0.637763
           0.98           0.52       0.817482        2.42413         1.6636       0.310915        2.27308       0.636327       0.637152
           0.98           0.52       0.842514        2.56004        1.70812       0.333176        2.24309       0.656531       0.637253
           0.98           0.52       0.869777        2.71892        1.75067       0.341388        2.21046       0.676735       0.637199
           0.98           0.52       0.894835          2.857        1.79466       0.369583        2.18318       0.696939       0.637473
           0.98           0.52       0.921729        3.00956         1.8391       0.395494        2.14346       0.717143       0.637425
           0.98           0.52       0.946398        3.15209        1.88372       0.427899        2.11563       0.737347       0.636777
           0.98           0.52        0.97661         3.3395        1.92267        0.43032        2.08961       0.757551        0.63797
           0.98           0.52       0.999281        3.49048        1.97028       0.461578        2.05765       0.777755       0.637535
           0.98           0.52         1.0163        3.63286        2.02157       0.490445        2.04314       0.797959       0.636688
           0.98           0.52        1.04171        3.80133        2.06512       0.515191         2.0184       0.818163       0.637167
           0.98           0.52         1.0762        3.99338        2.10099       0.542772        1.98502       0.838367         0.6373
           0.98           0.52        1.11225        4.19672        2.13465       0.565497         1.9527       0.858571       0.637685
           0.98           0.52        1.12884        4.37505        2.18584       0.573411        1.94083       0.878776       0.636369
           0.98           0.52         1.1518           4.54        2.23324        0.61806        1.91262        0.89898       0.636579
           0.98           0.52        1.17914        4.74142        2.27341       0.633157         1.8971       0.919184       0.637837
           0.98           0.52        1.20719        4.94392        2.31428       0.656715        1.87589       0.939388       0.637238
           0.98           0.52        1.23067        5.13048         2.3605       0.692575        1.85117       0.959592       0.637887
           0.98           0.52        1.26033        5.34282        2.39953       0.718456        1.83053       0.979796       0.638233
           0.98           0.52        1.28746        5.55278        2.44056       0.744096        1.81337              1       0.637682
