          Alpha           Beta        Kinetic   Kin Variance      Potential   Pot Variance  Mean Distance         Omega  Accepted configs (%)
           0.98           0.48      0.0132944     0.00220198      0.0870083     0.00162593        17.4767           0.01       0.632844
           0.98           0.48      0.0399334       0.012994       0.170798     0.00414789         10.226      0.0302041       0.634547
           0.98           0.48      0.0663404      0.0299042       0.238887     0.00667282        7.98941      0.0504082       0.634775
           0.98           0.48      0.0923257      0.0520512       0.302163     0.00992558        6.77658      0.0706122       0.636251
           0.98           0.48       0.119418       0.080395       0.361106      0.0131112        5.95798      0.0908163       0.635925
           0.98           0.48       0.143412       0.110542       0.418387      0.0174461         5.4473        0.11102       0.636119
           0.98           0.48       0.170249       0.147653       0.473126      0.0223412        5.01142       0.131224       0.636567
           0.98           0.48       0.196759       0.191387       0.526698      0.0253239        4.65355       0.151429       0.636825
           0.98           0.48       0.221399       0.233487       0.580068      0.0333232        4.38618       0.171633       0.637306
           0.98           0.48       0.245959       0.283528       0.631643       0.037562        4.17799       0.191837       0.636426
           0.98           0.48       0.275462        0.33888       0.680682      0.0470759         3.9467       0.212041        0.63664
           0.98           0.48       0.298859       0.397535        0.73292      0.0518979        3.78387       0.232245       0.636564
           0.98           0.48       0.325089       0.463365       0.781818      0.0564948        3.63352       0.252449       0.636828
           0.98           0.48       0.350771       0.528128       0.831686      0.0671898        3.49063       0.272653       0.638312
           0.98           0.48       0.378355       0.605101       0.877862      0.0711247        3.37711       0.292857       0.636911
           0.98           0.48        0.40327        0.67828       0.927585      0.0820697        3.26156       0.313061       0.637559
           0.98           0.48       0.428871       0.756528       0.975278      0.0922856        3.16492       0.333265       0.637542
           0.98           0.48       0.456111        0.84312        1.02179       0.101499        3.07092       0.353469       0.637674
           0.98           0.48       0.481043       0.928118           1.07       0.113947        2.98633       0.373673       0.637302
           0.98           0.48       0.503864        1.01611        1.11927       0.124463        2.91837       0.393878       0.637627
           0.98           0.48       0.535104        1.11737        1.16043        0.13712        2.84229       0.414082       0.638106
           0.98           0.48       0.555057        1.20677        1.21292       0.152346        2.77672       0.434286       0.637638
           0.98           0.48       0.584066        1.32052        1.25619       0.159632        2.71133        0.45449        0.63805
           0.98           0.48       0.615836        1.41872        1.29743       0.192023        2.63822       0.474694       0.638382
           0.98           0.48       0.639703        1.54611        1.34404       0.186063        2.59388       0.494898       0.637951
           0.98           0.48       0.663105        1.65687        1.39191       0.201651        2.54473       0.515102       0.637777
           0.98           0.48       0.691524        1.77874        1.43546       0.219136        2.48923       0.535306       0.637974
           0.98           0.48       0.709577        1.88379        1.48785       0.240321        2.45362        0.55551       0.637714
           0.98           0.48       0.737104        2.01259        1.53073       0.256404        2.41067       0.575714       0.638173
           0.98           0.48       0.758563        2.12955        1.57972       0.279394        2.37364       0.595918       0.638419
           0.98           0.48       0.789744        2.27354        1.61903       0.295911        2.33204       0.616122       0.637837
           0.98           0.48       0.818223        2.42464        1.66169       0.306687        2.28737       0.636327       0.638438
           0.98           0.48       0.843029         2.5645        1.70723       0.325933        2.25128       0.656531       0.638404
           0.98           0.48       0.870458         2.7128        1.74971       0.345174        2.21932       0.676735       0.638459
           0.98           0.48       0.899105        2.86518        1.79088        0.36681        2.18485       0.696939       0.636784
           0.98           0.48        0.91626         3.0008        1.84383       0.389708        2.15774       0.717143       0.638404
           0.98           0.48       0.946049        3.16798        1.88391       0.408066        2.12554       0.737347       0.637931
           0.98           0.48       0.978874        3.35119        1.92056       0.419987         2.0937       0.757551       0.637412
           0.98           0.48       0.996609         3.4552         1.9716       0.485765        2.07619       0.777755       0.638491
           0.98           0.48        1.02237        3.64302        2.01567       0.489579        2.04751       0.797959       0.638073
           0.98           0.48        1.04892        3.83459        2.05937       0.496485        2.01417       0.818163       0.638189
           0.98           0.48        1.07327        3.99785        2.10391       0.528947        1.99263       0.838367       0.638305
           0.98           0.48        1.09193        4.15309        2.15357       0.560607        1.97832       0.858571       0.637934
           0.98           0.48          1.121         4.3498        2.19381       0.579104        1.95258       0.878776       0.637725
           0.98           0.48        1.14873        4.54337        2.23525        0.60218        1.92726        0.89898       0.638057
           0.98           0.48        1.17148        4.70103        2.28132       0.654044        1.90754       0.919184       0.637856
           0.98           0.48        1.20436        4.92072        2.31767       0.671677        1.88159       0.939388        0.63802
           0.98           0.48        1.22579        5.08341         2.3649       0.723976        1.86426       0.959592        0.63825
           0.98           0.48         1.2662        5.34743        2.39316       0.722416        1.83982       0.979796       0.637686
           0.98           0.48        1.27574        5.50577        2.45233       0.760653        1.82598              1       0.638206
